S.N,Batch Count,Total Order,URL,Title,Length,Time Taken(ms),Render Time (ms)
1,0,3,https://www.grupoholguera.com,GRUPO HOLGUERA BIENES RAICES,77649,12037,10828
2,1,4,http://www.dronacharyaacademy.co.in,Home,33198,9384,6972
3,1,5,https://tamerakdesign.com,Tamera K Designs,151415,11061,7990
4,1,6,https://www.westcoastdancearts.com,Home | WestCoastDanceArts,874925,9640,6891
5,1,7,http://www.magnificentbudapest.hu,Error or No Title,52363,10702,7844
6,2,8,https://www.totallyu.co.uk,Hair | Totally U | Middleton,775136,7528,4354
7,2,9,https://www.oxygen360.com.au,Oxygen360 – Creative and Media Agency,38172,13850,11362
8,2,10,https://norbutmfg.com,Norbut Manufacturing – Custom Elastic Products for Industries Around the World.,88139,7380,4319
9,2,11,https://www.rinologiayolfato.com,Rinoplastia | Rinologia y Olfato Doctor Mariño | Comunidad de Madrid,964613,10278,8513
10,3,12,https://www.kinnelaw.com,Kinne IP Group,3047,5218,4938
11,3,14,http://www.fahrschule-frey.de,Fahrschule Frey - Startseite,39164,6664,6230
12,3,15,https://www.osteopathcanada.com,Home | General Osteopathic Council of Ontario,365280,4601,3825
13,4,17,https://www.nwpawn.com,Northwestern Loan & Pawnbrokers,139566,6404,5520
14,4,19,https://www.futurephysio.com,Physiotherapy and Sports Performance - Future Physio,44216,8475,8130
15,5,21,https://www.familyabusesheltermc.org,Family Abuse Shelter of Miami County | Troy Ohio,923175,4347,3233
16,5,23,http://suhhani.com,㈜서한공업,392280,5934,4664
17,6,24,https://uuq-optic.com,UUQ Optics | Rifle Scopes Red Dots Boresighters Bipods & More,491832,13873,12203
18,6,25,https://legend.life,The domain name legend.life is for sale,50807,4462,3963
19,6,27,https://palotagumi.hu,Non Stop Autószerviz | 0-24 | Gumszerviz futómű állítás autómentés,198084,12383,10781
20,7,28,https://www.taxi22000.at,Taxi 22000 in Wiener Neustadt,109208,14140,12492
21,7,29,http://www.fritra.ch,FRITRA AG,55862,14789,12630
22,7,30,https://www.qualitysourcingglobal.com,Sourcing Agents In India Quality Control Service Handicraft Sourcing Agent Indian Sourcing Agent Jodhpur Handicraft Exporter,111747,5873,3800
23,8,33,https://www.cmjc.cl,Empresa de Arriendo de Maquinarias para Obras Civiles,18351,8397,7834
24,8,34,http://www.grossepointehomes.com,Grosse Pointe Real Estate - Homes For Sale Grosse Pointe Mic,14992,5257,4657
25,8,35,https://www.fernandawr.com,Fernanda Walker - Portfolio,84363,23120,22038
26,9,36,http://fachpflegedienst-airflow.de,Fachpflegedienst Airflow,44703,4319,3572
27,9,38,https://zallerina.com,Zallerina - chaussure pour femme | ballerine confortable,128783,7157,3859
28,9,39,https://gardasee.bio,Gardasee Bio – die besten nachhaltigen Adressen in der Gardasee-Region,53647,13618,6005
29,10,40,http://www.horizonmagnet.com,Magnetic Solutions: Neodymium Magnet Precast Concrete Magnet Manufacturer - Horizon,41651,13086,7280
30,10,41,http://www.reflexsourcing.com,Error or No Title,18456,11789,6186
31,10,43,https://www.crossgarsurgery.co.uk,Crossgar Surgery - Information about the doctors surgery opening hours appointments online prescriptions health information and much more,24097,10242,8744
32,11,44,https://www.t3h.cz,T3H – TYPO3 hosting – specializovaný webhosting pro TYPO3 WordPress CS-Cart a GIS řešení,83451,6803,4706
33,11,45,http://www.iapplyschool.com,iApply School – Official Website,86716,16249,13663
34,11,47,http://www.annabelleetavern.com,Annabel Lee Tavern,3355,2690,2544
35,12,48,https://www.lakelightphotography.com,Portrait Headshots Senoir Architecture photographer | Lakelight Phototgraphy | Minneapolis,1042569,3220,2698
36,12,49,https://www.grotonfiredept.com,Groton Fire & Rescue,3733,4934,4196
37,12,50,http://www.scion-global.com,::: STERLING iTech Services :::,7022,4255,3946
38,13,52,http://rris-insurance.com,Risk Retention Insurance Services,9931,4088,3832
39,13,54,https://www.steveyingling.com,Home - Stephen Yingling - Keller Williams,468467,9996,8939
40,13,55,https://www.magie-maverick.com,Magicien 63 PUY-DE-DOME : Magie Clermont-ferrand : Magicien Maverick,25779,4226,3533
41,14,56,http://impulsoradeportiva.com,Impulsora Deportiva 2000 Impulsora Deportiva 2000 | Venta de Uniformes y Accesorios Deportivos,550347,9731,8351
42,14,57,http://www.rechtsanwalt-emmelshausen.de,Rechtsanwalt Emmelshausen,60996,8488,7260
43,14,59,https://hcaraujo.pt,H.C. Araújo - Soluções Tecnológicas,1465354,15136,12875
44,15,60,http://www.loretron.com.br,Loretron,8645,12684,10796
45,15,61,http://www.leanderson.com.br,Leanderson Designer Website E-commerce Bragança Paulista SP,345404,10883,8802
46,15,62,https://positivepants.co.uk,Positive Pants – Put on your Positive Pants!,58674,14239,8172
