S.N,Batch No,Time Taken
1,1,60155
2,2,9076
3,3,10218
4,4,10438
5,5,4621
6,6,30117
7,7,60127
8,8,7491
9,9,9348
10,10,4495
11,11,7526
12,12,5533
13,13,7176
14,14,8218
15,15,4291
16,16,10245
17,17,8414
18,18,60148
19,19,12496
20,20,41789
21,21,10964
22,22,4487
23,23,30127
24,24,60164
25,25,13285
26,26,60168
27,27,10566
28,28,30128
29,29,7126
30,30,7623
31,31,30244
32,32,8939
33,33,7072
34,34,60143
35,35,7180
36,36,6550
37,37,6425
38,38,7306
39,39,8626
40,40,13467
41,41,18163
42,42,30242
43,43,4360
44,44,6026
45,45,6379
46,46,8157
47,47,4962
48,48,60176
49,49,30115
50,50,6376
51,51,10405
52,52,6867
53,53,20702
54,54,60176
55,55,10170
56,56,9985
57,57,6327
58,58,30127
59,59,5163
60,60,4317
61,61,3317
62,62,6341
63,63,3706
64,64,6451
65,65,7588
66,66,6612
67,67,8237
68,68,4921
69,69,11218
70,70,60143
71,71,10705
72,72,7054
73,73,5452
74,74,60169
75,75,4720
76,76,4748
77,77,30251
78,78,10062
79,79,5641
80,80,7787
81,81,5714
82,82,8138
83,83,4047
84,84,7210
85,85,30124
86,86,7496
87,87,16798
88,88,10292
89,89,10986
90,90,20051
91,91,6327
92,92,3755
93,93,6176
94,94,9589
95,95,60158
96,96,10877
97,97,34458
98,98,8377
99,99,8275
100,100,6226
101,101,4796
102,102,6173
103,103,12071
104,104,4391
105,105,12868
106,106,60155
107,107,5059
108,108,4212
109,109,5368
110,110,4832
111,111,6273
112,112,4256
113,113,45563
114,114,18882
115,115,8423
116,116,6083
117,117,4449
118,118,4093
119,119,8359
120,120,30121
121,121,4646
122,122,30330
123,123,60148
124,124,10987
125,125,6277
126,126,60151
127,127,13907
128,128,7817
129,129,17169
130,130,11780
131,131,60116
132,132,30130
133,133,11401
134,134,7228
135,135,4104
136,136,7656
137,137,14877
138,138,5038
139,139,30117
140,140,5681
141,141,8314
142,142,30754
143,143,3717
144,144,5532
145,145,30122
146,146,5444
147,147,20537
148,148,8572
149,149,3540
150,150,5131
151,151,4456
152,152,6123
153,153,6276
154,154,4721
155,155,8574
156,156,7672
157,157,7273
158,158,3731
159,159,60162
160,160,9316
161,161,4296
162,162,60146
163,163,8471
164,164,60134
165,165,8319
166,166,16058
167,167,6139
168,168,7934
169,169,5539
170,170,7509
171,171,9440
172,172,6755
173,173,30146
174,174,6980
175,175,60172
176,176,7586
177,177,7154
178,178,30128
179,179,60120
180,180,6527
181,181,20640
182,182,30121
183,183,4516
184,184,4870
185,185,5058
186,186,30142
187,187,6326
188,188,4901
189,189,6991
190,190,23193
191,191,8629
192,192,60153
193,193,4889
194,194,8562
195,195,7076
196,196,22381
197,197,8872
198,198,5455
199,199,27162
200,200,30124
201,201,4651
202,202,6217
203,203,7543
204,204,8515
205,205,6959
206,206,60169
207,207,5820
208,208,60125
209,209,30303
210,210,60138
211,211,3733
212,212,60129
213,213,6112
214,214,60162
215,215,11860
216,216,6961
217,217,5400
218,218,30117
219,219,4548
220,220,60164
221,221,60158
222,222,30121
223,223,4102
224,224,4620
225,225,11184
226,226,7215
227,227,19063
228,228,18561
229,229,13226
230,230,8122
231,231,22133
232,232,14668
233,233,3031
234,234,9947
235,235,7538
236,236,4624
237,237,10683
238,238,60176
239,239,60170
240,240,30138
241,241,10934
242,242,6251
243,243,15155
244,244,4660
245,245,29612
246,246,7972
247,247,10047
248,248,20137
249,249,30128
250,250,30548
251,251,6816
252,252,9937
253,253,5889
254,254,60121
255,255,5977
256,256,60172
257,257,4410
258,258,5391
259,259,30871
260,260,30123
261,261,5656
262,262,5667
263,263,30124
264,264,27557
265,265,10359
266,266,30940
267,267,10272
268,268,19482
269,269,11011
270,270,7661
271,271,4752
272,272,30127
273,273,60141
274,274,30620
275,275,9892
276,276,4933
277,277,5387
278,278,5060
279,279,5163
280,280,7466
281,281,6213
282,282,7675
283,283,13373
284,284,8304
285,285,30447
286,286,9159
287,287,5157
288,288,60129
289,289,6174
290,290,7466
291,291,12457
292,292,15547
293,293,6788
294,294,5067
295,295,5064
296,296,30130
297,297,5879
298,298,60164
299,299,5584
300,300,30123
301,301,4618
302,302,60125
303,303,8046
304,304,60181
305,305,4149
306,306,12273
307,307,60154
308,308,4527
309,309,6495
310,310,9299
311,311,60184
312,312,9808
313,313,30438
314,314,6243
315,315,60166
316,316,8638
317,317,9099
318,318,13700
319,319,8772
320,320,30126
321,321,60148
322,322,7985
323,323,5300
324,324,9517
325,325,7397
326,326,6238
327,327,6349
328,328,30128
329,329,9816
330,330,6792
331,331,7082
332,332,3636
333,333,5226
334,334,7973
335,335,5450
336,336,8015
337,337,5291
338,338,6278
339,339,4865
340,340,8302
341,341,60128
342,342,60128
343,343,30121
344,344,4361
345,345,60148
346,346,6997
347,347,8391
348,348,6899
349,349,30128
350,350,6187
351,351,21359
352,352,30355
353,353,6334
354,354,60154
355,355,5787
356,356,11171
357,357,5404
358,358,16360
359,359,4000
360,360,16248
361,361,7726
362,362,5596
363,363,7836
364,364,35091
365,365,5181
366,366,8166
367,367,42156
368,368,9782
369,369,11487
370,370,7248
371,371,11290
372,372,4288
373,373,60154
374,374,10009
375,375,5307
376,376,6646
377,377,8992
378,378,5324
379,379,6349
380,380,6816
381,381,30127
382,382,30123
383,383,3339
384,384,8021
385,385,4807
386,386,60126
387,387,30127
388,388,6493
389,389,6587
390,390,11376
391,391,11049
392,392,8505
393,393,5483
394,394,4100
395,395,30118
396,396,30125
397,397,30124
398,398,4416
399,399,60175
400,400,30121
401,401,3892
402,402,4652
403,403,5392
404,404,19831
405,405,11456
406,406,30137
407,407,7410
408,408,11207
409,409,7251
410,410,60152
411,411,4099
412,412,30123
413,413,30123
414,414,3974
415,415,6202
416,416,9566
417,417,59529
418,418,30116
419,419,4381
420,420,30138
421,421,12964
422,422,5065
423,423,14251
424,424,5099
425,425,3767
426,426,60145
427,427,30125
428,428,4932
429,429,4414
430,430,60149
431,431,36856
432,432,60144
433,433,5517
434,434,8041
435,435,9711
436,436,32024
437,437,17350
438,438,10857
439,439,60149
440,440,5422
441,441,9117
442,442,4080
443,443,5137
444,444,60175
445,445,10385
446,446,10001
447,447,30124
448,448,30127
449,449,6607
450,450,5009
451,451,5439
452,452,4993
453,453,30119
454,454,4089
455,455,60124
456,456,12865
457,457,9099
458,458,11291
459,459,60172
460,460,39833
461,461,4954
462,462,60144
463,463,23718
464,464,30126
465,465,60144
466,466,30125
467,467,6242
468,468,7765
469,469,6864
470,470,30130
471,471,13547
472,472,4539
473,473,9453
474,474,8917
475,475,5081
476,476,60167
477,477,7862
478,478,60135
479,479,7748
480,480,8740
481,481,4633
482,482,22181
483,483,7232
484,484,4011
485,485,5273
486,486,9008
487,487,6949
488,488,30127
489,489,11396
490,490,7861
491,491,60134
492,492,30124
493,493,30120
494,494,11108
495,495,5240
496,496,30131
497,497,15112
498,498,30141
499,499,5042
500,500,8910
501,501,4687
502,502,60124
503,503,6295
504,504,5694
505,505,60162
506,506,5067
507,507,7081
508,508,10103
509,509,9528
510,510,9059
511,511,4097
512,512,30122
513,513,3494
514,514,30136
515,515,4817
516,516,5591
517,517,60145
518,518,8886
519,519,7614
520,520,15519
521,521,6135
522,522,30128
523,523,7358
524,524,6682
525,525,6423
526,526,3577
527,527,3952
528,528,60128
529,529,5622
530,530,5907
531,531,5286
532,532,12265
533,533,60165
534,534,12378
535,535,8785
536,536,8553
537,537,20756
538,538,5011
539,539,60163
540,540,9513
541,541,9534
542,542,5968
543,543,18588
544,544,8154
545,545,8565
546,546,4946
547,547,3609
548,548,3331
549,549,15480
550,550,5420
551,551,60128
552,552,7124
553,553,60130
554,554,9713
555,555,6109
556,556,4999
557,557,4098
558,558,5268
559,559,60186
560,560,30125
561,561,4814
562,562,8609
563,563,6443
564,564,30130
565,565,17231
566,566,27082
567,567,7213
568,568,5421
569,569,7867
570,570,30124
571,571,60109
572,572,10287
573,573,8928
574,574,30126
575,575,5110
576,576,30120
577,577,5467
578,578,3283
579,579,6675
580,580,4956
581,581,5050
582,582,30127
583,583,5417
584,584,9250
585,585,60135
586,586,7697
587,587,5719
588,588,60156
589,589,30125
590,590,18622
591,591,4759
592,592,5481
593,593,7331
594,594,17280
595,595,9900
596,596,4870
597,597,8845
598,598,9196
599,599,4733
600,600,17513
601,601,60158
602,602,6188
603,603,60162
604,604,6512
605,605,6799
606,606,15483
607,607,6352
608,608,8910
609,609,30134
610,610,30121
611,611,5417
612,612,14082
613,613,7746
614,614,10522
615,615,6107
616,616,4839
617,617,7850
618,618,5623
619,619,5266
620,620,12750
621,621,4559
622,622,7486
623,623,6448
624,624,5180
625,625,13091
626,626,33677
627,627,30119
628,628,11244
629,629,8045
630,630,19411
631,631,7339
632,632,6249
633,633,8366
634,634,60147
635,635,8278
636,636,10247
637,637,46745
638,638,4940
639,639,4345
640,640,6242
641,641,4896
642,642,5541
643,643,8389
644,644,60143
645,645,30128
646,646,4508
647,647,6287
648,648,6129
649,649,5768
650,650,60170
651,651,7907
652,652,4908
653,653,8403
654,654,7230
655,655,9161
656,656,6665
657,657,7528
658,658,9239
659,659,9961
660,660,60171
661,661,10610
662,662,6068
663,663,30133
664,664,60164
665,665,5966
666,666,6036
667,667,30125
668,668,5367
669,669,13555
670,670,15611
671,671,10520
672,672,30151
673,673,60131
674,674,9179
675,675,4481
676,676,4052
677,677,15716
678,678,5774
679,679,6037
680,680,30258
681,681,30126
682,682,9177
683,683,8334
684,684,3701
685,685,33362
686,686,9786
687,687,30144
688,688,7782
689,689,20538
690,690,7743
691,691,8141
692,692,18278
693,693,8818
694,694,6875
695,695,4941
696,696,5087
697,697,5566
698,698,4982
699,699,30135
700,700,5510
701,701,5855
702,702,60149
703,703,4204
704,704,30126
705,705,30122
706,706,60139
707,707,10458
708,708,7530
709,709,4724
710,710,5719
711,711,16307
712,712,4986
713,713,5861
714,714,7538
715,715,30125
716,716,30125
717,717,21175
718,718,30124
719,719,7216
720,720,10122
721,721,7175
722,722,14148
723,723,60162
724,724,5373
725,725,3912
726,726,13239
727,727,60149
728,728,4085
729,729,4090
730,730,7018
731,731,5080
732,732,7622
733,733,10218
734,734,20135
735,735,30138
736,736,19988
737,737,10691
738,738,5020
739,739,3883
740,740,6153
741,741,60122
742,742,11087
743,743,10916
744,744,5444
745,745,6628
746,746,5824
747,747,5492
748,748,3738
749,749,60172
750,750,4875
751,751,8626
752,752,4121
753,753,60125
754,754,60172
755,755,5618
756,756,6771
757,757,60172
758,758,28227
759,759,14285
760,760,5936
761,761,13263
762,762,8122
763,763,7271
764,764,30128
765,765,30129
766,766,10192
767,767,6889
768,768,5672
769,769,60139
770,770,60162
771,771,22163
772,772,5793
773,773,6308
774,774,8545
775,775,9940
776,776,7700
777,777,7847
778,778,7150
779,779,60170
780,780,16869
781,781,7642
782,782,14823
783,783,6360
784,784,5117
785,785,9347
786,786,60121
787,787,6958
788,788,8167
789,789,5321
790,790,6150
791,791,7382
792,792,13105
793,793,30132
794,794,7375
795,795,60152
796,796,6053
797,797,8835
798,798,7639
799,799,11561
800,800,60129
801,801,9813
802,802,8223
803,803,6948
804,804,6696
805,805,9749
806,806,30484
807,807,12442
808,808,18448
809,809,30130
810,810,5989
811,811,9468
812,812,7170
813,813,10167
814,814,30511
815,815,6975
816,816,5339
817,817,30149
818,818,8965
819,819,30134
820,820,60118
821,821,10488
822,822,9183
823,823,4240
824,824,60167
825,825,11779
826,826,12488
827,827,30129
828,828,30127
829,829,3044
830,830,12839
831,831,5319
832,832,16931
833,833,4039
834,834,4951
835,835,30332
836,836,5093
837,837,30126
838,838,9939
839,839,10372
840,840,6881
841,841,30128
842,842,8099
843,843,60120
844,844,9828
845,845,60171
846,846,9468
847,847,6318
848,848,60157
849,849,6007
850,850,7803
851,851,3138
852,852,5449
853,853,32087
854,854,31124
855,855,7726
856,856,60121
857,857,5736
858,858,9918
859,859,6949
860,860,10006
861,861,4040
862,862,6163
863,863,21984
864,864,34171
865,865,6993
866,866,60172
867,867,5447
868,868,60136
869,869,9752
870,870,6106
871,871,6679
872,872,4704
873,873,3085
874,874,3952
875,875,6878
876,876,10012
877,877,11167
878,878,3522
879,879,60186
880,880,6471
881,881,60128
882,882,4247
883,883,6645
884,884,9428
885,885,4045
886,886,15176
887,887,4742
888,888,5838
889,889,7124
890,890,4225
891,891,11237
892,892,60129
893,893,5843
894,894,9308
895,895,4603
896,896,60134
897,897,10831
898,898,5667
899,899,30136
900,900,8618
901,901,47140
902,902,30141
903,903,30124
904,904,41580
905,905,12268
906,906,5363
907,907,11218
908,908,30116
909,909,60156
910,910,5184
911,911,30129
912,912,60147
913,913,30618
914,914,6929
915,915,9721
916,916,60148
917,917,5369
918,918,30131
919,919,9171
920,920,7529
921,921,5992
922,922,7980
923,923,7339
924,924,6680
925,925,15911
926,926,7037
927,927,5048
928,928,7431
929,929,7556
930,930,4360
931,931,5481
932,932,11914
933,933,12971
934,934,60152
935,935,10227
936,936,8488
937,937,12250
938,938,31734
939,939,10240
940,940,60155
941,941,14393
942,942,30130
943,943,30126
944,944,60175
945,945,30129
946,946,8161
947,947,6230
948,948,6357
949,949,4021
950,950,7124
951,951,4649
952,952,5313
953,953,19572
954,954,5835
955,955,35636
956,956,60163
957,957,7007
958,958,7271
959,959,5126
960,960,3594
961,961,5026
962,962,6481
963,963,30130
964,964,10691
965,965,5991
966,966,30127
967,967,8795
968,968,30475
969,969,4648
970,970,4096
971,971,6902
972,972,9177
973,973,60124
974,974,11077
975,975,6651
976,976,60165
