S.N,Batch No,Time Taken
1,1,6384
2,2,5077
3,3,5677
4,4,7388
5,5,60177
6,6,7330
7,7,5283
8,8,60162
9,9,4636
10,10,12520
11,11,6875
12,12,60140
13,13,60143
14,14,10108
15,15,7657
16,16,10388
17,17,30138
18,18,60151
19,19,4097
20,20,60162
21,21,7834
22,22,5381
23,23,21198
24,24,7800
25,25,30119
26,26,39095
27,27,60117
28,28,60109
29,29,8155
30,30,6493
31,31,60172
32,32,13514
33,33,5412
34,34,19277
35,35,3504
36,36,6348
37,37,60173
38,38,30656
39,39,5925
40,40,7956
41,41,30124
42,42,60143
43,43,6153
44,44,5062
45,45,21960
46,46,11214
47,47,6103
48,48,13067
49,49,6841
50,50,30134
51,51,60154
52,52,8875
53,53,10887
54,54,6057
55,55,6646
56,56,6946
57,57,5270
58,58,3607
59,59,13795
60,60,60165
61,61,8603
62,62,3797
63,63,60162
64,64,60280
65,65,30217
66,66,5255
67,67,30129
68,68,4734
69,69,16554
70,70,60178
71,71,9352
72,72,11441
73,73,6860
74,74,30132
75,75,5043
76,76,13048
77,77,16103
78,78,60123
79,79,60143
80,80,7218
81,81,30127
82,82,60126
83,83,8313
84,84,60117
85,85,60120
86,86,5655
87,87,6504
88,88,8082
89,89,60132
90,90,16188
91,91,14891
92,92,3832
93,93,30832
94,94,7874
95,95,4108
96,96,14256
97,97,60130
98,98,60169
99,99,14726
100,100,60125
101,101,60159
102,102,60136
103,103,8778
104,104,60160
105,105,30267
106,106,42772
107,107,14707
108,108,8147
109,109,30124
110,110,4348
111,111,10208
112,112,60170
113,113,5315
114,114,5497
115,115,9607
116,116,4634
117,117,8655
118,118,30125
119,119,7479
120,120,9278
121,121,12553
122,122,34492
123,123,60163
124,124,11998
125,125,7297
126,126,60156
127,127,6170
128,128,9080
129,129,60167
130,130,5881
131,131,60161
132,132,60172
133,133,30119
134,134,7695
135,135,6217
136,136,8937
137,137,60168
138,138,60117
139,139,5619
140,140,6764
141,141,8387
142,142,8424
143,143,60126
144,144,7749
145,145,60173
146,146,6751
147,147,4571
148,148,4538
149,149,30133
150,150,4092
151,151,6332
152,152,12552
153,153,9359
154,154,6688
155,155,10919
156,156,19658
157,157,60169
158,158,6680
159,159,20283
160,160,10895
161,161,8585
162,162,19623
163,163,60155
164,164,12719
165,165,30130
166,166,4780
167,167,60158
168,168,30111
169,169,6854
170,170,41661
171,171,35081
172,172,18628
173,173,4450
174,174,4579
175,175,6193
176,176,9771
177,177,31370
178,178,8754
179,179,6069
180,180,5649
181,181,30129
182,182,17944
183,183,30123
184,184,60116
185,185,6757
186,186,7062
187,187,9054
188,188,7570
189,189,14398
190,190,6730
191,191,60145
192,192,7499
193,193,16288
194,194,7254
195,195,7491
196,196,8102
197,197,12235
198,198,60162
199,199,60134
200,200,3384
201,201,3675
202,202,5648
203,203,7941
204,204,4046
205,205,11033
206,206,30125
207,207,5062
208,208,5669
209,209,30249
210,210,6886
211,211,8503
212,212,12172
213,213,30128
214,214,20265
215,215,17513
216,216,7812
217,217,7270
218,218,7713
219,219,9545
220,220,7838
221,221,60169
222,222,43095
223,223,8088
224,224,10294
225,225,60159
226,226,3654
227,227,5932
228,228,22167
229,229,5065
230,230,30128
231,231,60115
232,232,4790
233,233,8928
234,234,6675
235,235,60162
236,236,4009
237,237,6332
238,238,5922
239,239,9493
240,240,14552
241,241,30120
242,242,8202
243,243,4483
244,244,7112
245,245,60163
246,246,4955
247,247,3175
248,248,60137
249,249,5073
250,250,30244
251,251,12724
252,252,12240
253,253,5085
254,254,5502
255,255,5720
256,256,7170
257,257,4536
258,258,6238
259,259,9855
260,260,30372
261,261,60145
262,262,7384
263,263,6899
264,264,5350
265,265,6230
266,266,7931
267,267,3280
268,268,7156
269,269,7288
270,270,9504
271,271,7208
272,272,60155
273,273,7646
274,274,5081
275,275,18796
276,276,60161
277,277,4831
278,278,5448
279,279,60119
280,280,60131
281,281,60143
282,282,33899
283,283,60174
284,284,19574
285,285,60167
286,286,60168
287,287,12782
288,288,60139
289,289,9325
290,290,4795
291,291,17145
292,292,5943
293,293,4340
294,294,7824
295,295,4801
296,296,8634
297,297,30601
298,298,7562
299,299,5399
300,300,60132
301,301,8144
302,302,15066
303,303,14421
304,304,23463
305,305,4858
306,306,5018
307,307,4545
308,308,7023
309,309,5881
310,310,7637
311,311,5602
312,312,4587
313,313,10367
314,314,11706
315,315,6814
316,316,30128
317,317,60165
318,318,10749
319,319,4984
320,320,5575
321,321,6380
322,322,60131
323,323,2952
324,324,6060
325,325,5587
326,326,4989
327,327,7371
328,328,5505
329,329,4904
330,330,30124
331,331,10236
332,332,6205
333,333,60119
334,334,5271
335,335,7548
336,336,60127
337,337,4886
338,338,37848
339,339,3663
340,340,11805
341,341,11987
342,342,9486
343,343,30116
344,344,8423
345,345,6183
346,346,60139
347,347,18005
348,348,20561
349,349,9901
350,350,6092
351,351,60168
352,352,60168
353,353,30122
354,354,30132
355,355,6847
356,356,11920
357,357,4286
358,358,5939
359,359,30133
360,360,26150
361,361,30131
362,362,60176
363,363,60128
364,364,10135
365,365,60166
366,366,5629
367,367,6060
368,368,11481
369,369,30129
370,370,11865
371,371,30120
