S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,https://www.grupoholguera.com,18822.512867,14,11,121,1795,60,104,0.113205,0.047512,0.108721,0.607108,5660640,10919936,4735
2,http://www.dronacharyaacademy.co.in,18823.792937,7,4,118,1238,31,127,0.076106,0.053549,0.050635,0.699908,2871136,5779456,1581
3,https://tamerakdesign.com,18824.52654,7,4,128,1196,68,99,0.122583,0.062628,0.185949,0.496537,6806276,10801152,2940
4,https://www.oxygen360.com.au,18825.426657,7,4,46,578,20,23,0.015312,0.015002,0.136662,0.29366,5393260,9973760,6246
5,https://www.westcoastdancearts.com,18826.565688,7,4,459,861,20,28,0.125071,0.054231,0.349781,1.074666,19827176,34009088,3368
6,https://www.fernandawr.com,18831.018881,6,4,57,3115,47,42,0.119607,0.025245,0.015911,0.48901,2597548,4120576,5377
7,https://www.osteopathcanada.com,18831.894405,5,4,246,847,22,25,0.024435,0.026079,0.147823,0.537241,10324312,20672512,3697
8,http://www.h2ocreations.co.uk,18832.27652,14,7,1,498,21,26,0.022511,0.014018,0.000958,0.133036,2856708,4071424,5198
9,https://www.futurephysio.com,18832.601196,7,4,26,1003,21,41,0.024202,0.026368,0.061799,0.193,3661508,6565888,6368
10,https://www.totallyu.co.uk,18833.223189,8,11,608,1477,46,143,0.210677,0.090231,0.494634,1.481019,20520220,34893824,7851
11,https://www.rinologiayolfato.com,18833.953982,16,18,407,1297,28,41,0.213502,0.063049,0.339329,1.175567,19156580,35237888,9309
12,https://www.kinnelaw.com,18834.162253,6,4,0,114,8,5,0.0157,0.001965,0.000905,0.053661,1121888,2760704,8448
13,https://norbutmfg.com,18834.642158,9,6,159,1409,64,135,0.060836,0.105929,0.138248,0.489028,5243400,6221824,9254
14,https://nwtacticaltraining.com,18836.146231,8,6,20,350,10,11,0.014555,0.003816,0.083367,0.156699,2886008,5517312,3496
15,http://www.fahrschule-frey.de,18837.527904,10,5,86,743,28,39,0.075069,0.019779,0.030751,0.24807,3048732,4993024,12181
16,https://www.thevictoriasurbiton.co.uk,18839.257943,34,9,574,1211,92,163,0.233993,0.063318,0.443614,1.128515,16058416,22777856,3495
17,https://www.familyabusesheltermc.org,18840.172682,7,4,391,1655,29,24,0.085103,0.071998,0.19915,0.883059,15809332,23097344,3259
18,http://suhhani.com,18841.233361,8,5,1081,4724,58,113,0.383352,0.173868,0.223604,1.204523,9952268,13647872,4254
19,https://uuq-optic.com,18842.344471,12,17,633,9000,49,136,0.09949,0.284098,0.380359,1.490494,12765224,20451328,8100
20,https://www.taxi22000.at,18843.090876,9,9,194,967,57,120,0.068692,0.061023,0.918213,1.311587,10774800,19148800,8518
21,https://legend.life,18843.438488,11,5,69,1520,21,30,0.087519,0.029052,0.082163,0.32559,7448292,11022336,2859
22,https://palotagumi.hu,18844.536343,7,7,129,4327,37,104,0.100038,0.046336,0.204273,0.648733,7216500,12070912,8070
23,https://www.qualitysourcingglobal.com,18845.45816,5,4,111,1096,48,49,0.076385,0.050262,0.195487,0.530911,7486880,18006016,3151
24,http://www.samuelmarwit.com,18846.95746,7,4,55,774,19,20,0.098468,0.017639,0.041963,0.25518,2431536,4857856,8493
25,https://www.cmjc.cl,18848.954713,9,4,16,837,52,43,0.080868,0.03393,0.031853,0.307661,3093604,4595712,7970
26,http://www.grossepointehomes.com,18849.479218,6,4,17,535,20,18,0.056253,0.010297,0.014192,0.154759,1999716,3809280,5259
27,https://gardasee.bio,18855.139219,7,4,91,1513,97,123,0.063514,0.02048,0.100794,0.450875,5374480,10235904,5710
28,http://fachpflegedienst-airflow.de,18855.985045,8,5,108,1342,41,86,0.051848,0.066302,0.109796,0.365751,4662464,8925184,6047
29,http://www.horizonmagnet.com,18858.296437,7,6,56,1449,65,193,0.034242,0.035548,0.205772,0.506494,6599388,11022336,10302
30,https://www.crossgarsurgery.co.uk,18859.275049,7,4,72,699,17,16,0.04548,0.0115,0.082616,0.214896,4710196,9449472,3597
31,https://www.t3h.cz,18860.065472,8,4,133,1503,46,78,0.098221,0.092624,0.107884,0.411251,5584476,9097216,3960
32,http://www.manutention-levage-grue.fr,18860.495088,6,4,37,371,16,17,0.070662,0.009746,0.084067,0.246731,3583068,6041600,4097
33,http://www.annabelleetavern.com,18862.23257,6,4,0,99,8,5,0.002633,0.001889,0.001586,0.03602,1162076,2760704,2700
34,https://www.lakelightphotography.com,18863.265846,5,6,345,700,25,26,0.020689,0.032215,0.246465,0.703393,16733360,34344960,2222
35,https://www.steveyingling.com,18865.206722,4,4,113,1153,115,124,0.094211,0.071745,0.341681,0.777544,8553912,17260544,5723
36,https://www.grotonfiredept.com,18865.994763,6,4,3,95,10,8,0.023067,0.002924,0.035455,0.113017,1957348,3547136,4091
37,http://www.scion-global.com,18866.367188,6,4,20,465,19,21,0.015477,0.008113,0.019604,0.103884,2071640,3682304,2844
38,http://rris-insurance.com,18866.810633,6,4,5,470,13,8,0.009016,0.004009,0.051397,0.124883,1234076,3022848,3223
39,http://impulsoradeportiva.com,18874.076825,14,9,937,2730,57,139,0.079825,0.066422,0.38101,0.81895,15661604,25784320,7410
40,https://hcaraujo.pt,18875.055511,37,19,493,20610,59,73,0.286729,0.188352,0.628663,1.859687,43607256,76251136,12711
41,https://www.magie-maverick.com,18877.073289,6,4,68,1279,68,149,0.078331,0.047928,0.079498,0.36138,3922360,6565888,3768
42,http://www.leanderson.com.br,18881.554372,10,11,102,1203,71,130,0.079154,0.038841,0.244764,0.589471,25735644,37978112,14338
43,https://positivepants.co.uk,18883.149755,11,14,84,1568,31,63,0.130405,0.035858,0.050901,0.366937,3350832,4993024,8235
44,https://www.saltspringunited.com,18886.821712,6,4,34,1094,27,117,0.03497,0.031934,0.018584,0.202431,2418648,3944448,4647
45,http://www.manitusolar.com,18894.882031,6,4,5,443,19,18,0.03115,0.013017,0.007109,0.106145,1694364,3547136,7703
46,https://gnarlyeatstogo.com,18897.667113,7,4,19,455,32,30,0.07539,0.019474,0.022744,0.195405,2525228,3809280,4310
47,https://seniorenheim-weihungszell.de,18899.38154,20,9,187,1940,69,107,0.107657,0.036277,0.076297,0.38143,3840300,6356992,3534
48,https://www.solutionsprint.fr,18901.38182,6,4,24,656,7,4,0.009674,0.005173,0.002355,0.082739,1238944,2498560,3427
49,https://www.dowhatworks.co.uk,18903.06177,4,4,281,1030,29,50,0.060896,0.044441,0.147926,0.716442,13170752,32542720,2622
50,https://www.qplusconcept.com,18903.781234,7,8,23,637,23,41,0.06241,0.027213,0.022004,0.232654,2434104,5517312,2692
51,http://www.campiglioconsulting.com,18904.954595,6,4,0,125,7,5,0.005698,0.001318,0,0.034251,1087504,2498560,3184
52,https://ikartindy.com,18910.113811,7,4,79,708,51,48,0.053376,0.048389,0.047922,0.297936,2395624,4333568,4555
53,http://www.nwp-ksu.org,18910.656573,9,5,51,843,37,63,0.066088,0.024463,0.140819,0.33077,8536640,12427264,3323
54,https://www.sakeco.ch,18912.070874,7,4,13,775,18,21,0.0201,0.032321,0.028479,0.181679,2278076,3809280,5307
55,https://www.hamiltonsbar.co.uk,18913.418152,10,12,63,1291,48,156,0.067693,0.04261,0.157209,0.481349,6541448,10235904,7067
56,https://www.bhhstruerealty.com,18915.183848,18,21,904,13128,318,356,0.358905,0.215043,0.799403,2.679604,21823516,36618240,6990
57,http://www.tallerurbanomarbella.com,18915.830207,6,4,2,128,8,6,0.002991,0.002533,0.01947,0.069463,1556700,3682304,4839
58,https://www.freshsmiles.ca,18916.31581,4,5,257,877,15,27,0.034845,0.037452,0.167786,0.628437,10549344,21069824,3622
59,http://www.jjtaxiskirkcaldy.co.uk,18917.486232,4,4,36,1502,63,264,0.151879,0.115601,0.091871,0.605994,3865388,9449472,8226
60,http://permare.net,18918.795585,5,5,132,1358,38,148,0.091704,0.192732,0.219987,0.807829,5853424,16527360,4517
61,http://zulukvillagehomestay.in,18920.846547,10,8,788,1963,46,46,0.056092,0.034711,0.138485,0.446448,5914384,11546624,6008
62,https://www.ajs-shop.co.uk,18921.182047,7,4,173,1192,41,85,0.071679,0.030211,0.100194,0.321062,5982972,10551296,4370
63,http://www.sessellust.de,18923.774621,6,4,0,188,7,4,0.006537,0.001592,0,0.039946,1056892,2236416,2691
