S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,https://tamerakdesign.com,17547.884875,7,4,124,1087,44,64,0.083447,0.023233,0.081434,0.247259,6587972,11063296,3025
2,https://www.grupoholguera.com,17548.563488,14,11,121,1795,68,120,0.095961,0.02832,0.112298,0.904931,5721824,10657792,6479
3,https://www.oxygen360.com.au,17550.046751,7,4,48,578,19,24,0.014458,0.010769,0.09505,0.189435,5446608,9711616,6325
4,http://www.magnificentbudapest.hu,17550.601597,6,4,18,785,15,17,0.065114,0.008734,0.027217,0.138614,2260748,4071424,4960
5,https://www.kinnelaw.com,17553.412062,6,4,0,114,7,4,0.008475,0.000936,0.000369,0.031381,1121888,2760704,3117
6,https://norbutmfg.com,17553.957498,9,6,162,1482,80,150,0.071164,0.09712,0.111639,0.456249,4623248,9449472,4738
7,https://www.westcoastdancearts.com,17555.448223,7,4,438,801,22,31,0.061726,0.026768,0.247672,0.683038,20114020,35319808,8558
8,https://www.futurephysio.com,17556.930561,7,4,26,1032,22,42,0.015245,0.024609,0.05442,0.151538,3728288,8400896,5977
9,https://www.nwpawn.com,17557.606291,6,4,120,1920,25,40,0.090689,0.060857,0.365911,0.653118,16353560,22753280,3454
10,https://www.totallyu.co.uk,17558.192303,8,11,604,1476,40,124,0.121523,0.079201,0.220193,0.918817,20807268,34369536,8216
11,https://www.rinologiayolfato.com,17558.872962,16,18,409,1300,34,46,0.128065,0.039593,0.228858,0.863806,19213092,35500032,8947
12,https://www.fernandawr.com,17559.514798,6,4,57,3115,33,30,0.068182,0.016619,0.01737,0.391507,2597332,4382720,7267
13,https://www.osteopathcanada.com,17560.158205,4,4,246,843,18,19,0.016962,0.016567,0.116201,0.374611,9909676,20672512,2710
14,http://www.fahrschule-frey.de,17560.517136,10,5,86,743,27,40,0.047147,0.010422,0.031393,0.174332,3149776,5255168,9431
15,http://www.h2ocreations.co.uk,17560.851015,14,7,1,498,22,26,0.01965,0.137168,0.000481,0.22746,2856708,4071424,4931
16,https://uuq-optic.com,17563.647994,12,17,586,8940,48,104,0.078822,0.170159,0.217693,0.863868,12592304,20447232,5413
17,https://www.familyabusesheltermc.org,17564.619903,7,4,390,1655,20,13,0.062411,0.069043,0.128238,0.581179,15676736,23097344,3039
18,https://www.taxi22000.at,17565.312462,9,8,168,888,51,120,0.062317,0.039483,0.390546,0.660645,9402632,18624512,6459
19,https://www.thevictoriasurbiton.co.uk,17566.617052,34,9,576,1211,81,129,0.092902,0.02752,0.314122,0.679145,16338416,22814720,5079
20,http://suhhani.com,17567.551203,8,5,1081,4701,56,109,0.270219,0.119694,0.136322,0.82113,9901916,13647872,4305
21,https://palotagumi.hu,17568.48786,13,8,135,11952,53,115,0.185763,0.053101,0.207126,0.703952,8545752,12595200,7037
22,https://legend.life,17568.730863,11,5,74,1563,26,32,0.062473,0.017215,0.073275,0.255048,7658756,11022336,2866
23,https://www.qualitysourcingglobal.com,17571.030031,4,4,106,977,47,46,0.042764,0.022628,0.141796,0.338573,6801768,17256448,3632
24,http://www.samuelmarwit.com,17571.887349,7,4,55,774,19,23,0.056223,0.014813,0.026658,0.164999,2677200,5120000,8491
25,https://www.cmjc.cl,17573.17365,9,4,16,837,55,35,0.045989,0.016306,0.028181,0.174602,2910656,5120000,7254
26,http://www.grossepointehomes.com,17573.585672,6,4,17,534,17,16,0.033398,0.006844,0.011299,0.092328,2123424,3944448,4570
27,https://gardasee.bio,17579.553822,7,4,91,1513,42,58,0.047489,0.01715,0.090306,0.260541,6931192,10760192,4337
28,https://zallerina.com,17581.773885,8,5,212,2423,142,177,0.054102,0.045368,0.370933,0.623199,18890460,35573760,3769
29,http://fachpflegedienst-airflow.de,17582.275705,5,4,224,1435,49,122,0.074391,0.059208,0.164454,0.465582,6448992,11546624,2637
30,http://www.horizonmagnet.com,17583.081484,7,6,70,1459,70,200,0.035107,0.027531,0.205068,0.430675,8203748,12857344,7583
31,http://www.iapplyschool.com,17583.548188,7,4,69,1336,54,65,0.06504,0.063488,0.133892,0.423535,4575368,7352320,10855
32,http://www.reflexsourcing.com,17583.785918,14,7,1,494,25,28,0.013087,1.54546,0.000605,1.617321,2980300,4071424,8128
33,https://www.crossgarsurgery.co.uk,17586.745058,7,4,72,699,16,13,0.031143,0.005659,0.050162,0.13352,4761880,9449472,4711
34,http://www.annabelleetavern.com,17590.637852,6,4,0,99,6,5,0.001455,0.000802,0.001635,0.016225,1162076,2760704,3701
