S.N,Batch Count,Total Order,URL,Title,Length,Time Taken(ms),Render Time (ms)
1,0,1,http://www.uttrakhandtaxi.com,Taxi in dehradun | Delhi Dehradun Taxi Cab Service,170451,2865,2220
2,0,2,http://www.uttrakhandtaxi.com,Taxi in dehradun | Delhi Dehradun Taxi Cab Service,170451,2789,2152
3,0,3,http://www.uttrakhandtaxi.com,Taxi in dehradun | Delhi Dehradun Taxi Cab Service,170455,2662,2007
4,1,4,http://www.uttrakhandtaxi.com,Taxi in dehradun | Delhi Dehradun Taxi Cab Service,170451,2697,2083
5,1,5,http://www.uttrakhandtaxi.com,Taxi in dehradun | Delhi Dehradun Taxi Cab Service,170491,2633,2008
6,1,6,https://zoho.com,Zoho | Cloud Software Suite for Businesses,130506,4437,3782
7,1,7,https://zoho.com,Zoho | Cloud Software Suite for Businesses,130506,3825,3160
8,2,8,https://zoho.com,Zoho | Cloud Software Suite for Businesses,141459,5543,4863
9,2,9,https://zoho.com,Zoho | Cloud Software Suite for Businesses,130506,4171,3516
10,2,10,https://zoho.com,Zoho | Cloud Software Suite for Businesses,130506,3901,3242
