S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.uttrakhandtaxi.com,261916.858505,7,8,165,69919,86,144,0.078579,0.041851,0.33469,0.659956,8015164,17838080,2220
2,http://www.uttrakhandtaxi.com,261919.708636,6,8,164,69913,82,139,0.035903,0.039565,0.255425,0.513072,8846016,13770752,2152
3,http://www.uttrakhandtaxi.com,261922.434201,4,7,162,29225,84,142,0.035362,0.044552,0.268641,0.543096,7266596,17838080,2007
4,http://www.uttrakhandtaxi.com,261925.197744,7,8,165,69919,86,143,0.038559,0.039682,0.255207,0.504223,7965572,18100224,2083
5,http://www.uttrakhandtaxi.com,261927.894611,4,7,163,26794,91,147,0.038126,0.040428,0.257719,0.516666,7248532,18624512,2008
6,https://zoho.com,261932.391551,54,53,162,7084,41,164,0.058473,0.055949,0.174304,0.671125,5082408,11022336,3782
7,https://zoho.com,261936.274675,54,53,164,7151,35,152,0.030609,0.05244,0.153578,0.608933,5135176,11022336,3160
8,https://zoho.com,261941.884827,53,54,183,53272,44,256,0.037871,0.078237,0.165633,0.730303,7697700,12451840,4863
9,https://zoho.com,261946.111229,54,53,164,7145,40,152,0.029194,0.052172,0.166648,0.614737,5074896,11022336,3516
10,https://zoho.com,261950.077329,53,53,162,7079,38,152,0.02752,0.046831,0.165227,0.587502,4653844,11284480,3242
