S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,https://ricsons.com/,100323.781015,8,8,581,10179,34,86,0.036744,0.056867,0.686461,1.086315,13946412,23355392,5470
2,https://ricsons.com/,100331.132353,10,8,706,22161,37,92,0.033129,0.056497,0.693102,1.101218,15798624,24141824,4884
3,https://ricsons.com/,100354.910549,10,8,709,22191,34,80,0.03291,0.058063,0.662672,1.057717,13639252,23355392,4876
4,https://ricsons.com/,100365.604779,8,8,596,10170,34,95,0.036551,0.057908,0.681211,1.155805,14087080,23355392,5035
5,https://ricsons.com/,100373.785099,9,8,720,22193,33,96,0.021994,0.052252,0.709796,1.085657,14080320,23355392,5060
6,http://www.uttrakhandtaxi.com,100383.89838,1,4,162,25134,145,201,0.050083,0.051932,0.269401,0.638314,8351416,18763776,3567
7,http://www.uttrakhandtaxi.com,100389.511647,1,4,162,69878,135,186,0.041035,0.049184,0.282701,0.622842,9825716,19374080,2914
8,http://www.uttrakhandtaxi.com,100394.541596,1,4,159,25967,148,204,0.044912,0.053169,0.27105,0.63217,7265584,18898944,3035
9,http://www.uttrakhandtaxi.com,100398.934887,1,4,162,39386,136,187,0.04839,0.052051,0.274354,0.640223,8343296,19288064,2865
10,http://www.uttrakhandtaxi.com,100403.885083,1,4,159,29208,153,206,0.053759,0.048931,0.277221,0.656804,8446912,19292160,3286
