S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,https://www.grupoholguera.com,96833.11871,13,10,420,12521,64,113,0.043527,0.025277,0.100919,0.833965,6191392,10719232,5285
2,http://www.dronacharyaacademy.co.in,96834.151815,4,1,133,7388,28,113,0.023951,0.037744,0.041133,0.309025,3355708,5791744,2173
3,https://tamerakdesign.com,96834.741588,4,1,137,9511,60,91,0.066299,0.033329,0.111182,0.314158,5913648,10772480,3197
4,http://www.magnificentbudapest.hu,96834.963182,3,1,18,3727,13,14,0.030865,0.010257,0.02375,0.117131,2367264,3821568,3771
5,https://www.westcoastdancearts.com,96835.492505,2,2,318,7883,19,23,0.025363,0.023553,0.212093,0.734286,21685000,40833024,2800
6,https://www.totallyu.co.uk,96837.936184,2,6,395,2974,33,46,0.032068,0.037457,0.509775,1.302168,12962400,30695424,2363
7,https://norbutmfg.com,96838.769667,7,4,162,9641,56,129,0.094137,0.130928,0.143535,0.623149,5237544,9986048,3900
8,https://www.rinologiayolfato.com,96840.736177,2,9,298,20773,27,41,0.039201,0.034624,0.244047,1.020396,25230204,39981056,6461
9,https://www.kinnelaw.com,96840.968482,3,1,0,578,7,1,0.005141,0.001232,0.000491,0.04804,1288608,3035136,4850
10,https://www.nwpawn.com,96841.718722,1,1,102,21202,25,37,0.043074,0.061444,0.400076,0.740423,14520372,24784896,4142
11,https://www.oxygen360.com.au,96841.901369,1,1,42,1099,18,23,0.0114,0.017835,0.141014,0.336995,4106412,7102464,11786
12,http://www.fahrschule-frey.de,96842.363077,9,4,173,6547,24,94,0.023599,0.023981,0.03717,0.272594,3780484,5267456,5902
13,https://www.fernandawr.com,96843.262206,3,1,57,26045,32,29,0.070689,0.024585,0.01849,0.660726,3142492,5255168,5710
14,http://www.h2ocreations.co.uk,96843.60354,12,5,1,4515,22,18,0.017074,0.15284,0.001026,0.292674,2860276,4083712,4402
15,https://www.osteopathcanada.com,96844.107975,1,1,275,11646,15,15,0.021618,0.011544,0.105563,0.475589,9234836,18374656,4290
16,https://www.futurephysio.com,96844.422266,4,1,29,7292,23,43,0.021767,0.035586,0.068597,0.226828,3904144,6840320,7994
17,https://nwtacticaltraining.com,96844.560727,5,3,140,2917,10,5,0.011441,0.001938,0.063206,0.119651,3164324,5791744,3182
18,https://uuq-optic.com,96846.283223,2,5,560,83890,44,95,0.047479,0.138945,0.230695,1.292896,8672008,28073984,5767
19,http://www.fritra.ch,96847.020124,7,3,167,7889,88,120,0.02869,0.019769,0.162003,0.341401,5555424,10510336,4260
