S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,https://www.grupoholguera.com,29683.355443,14,12,428,12536,57,116,0.051689,0.026455,0.112252,0.55038,6222492,11091968,5017
2,https://www.oxygen360.com.au,29692.631622,4,1,54,2165,17,18,0.006906,0.008194,0.067038,0.164867,5981516,9723904,5903
3,https://tamerakdesign.com,29695.977421,4,1,133,9416,44,64,0.033089,0.02419,0.102512,0.243373,7711064,11943936,2741
4,http://www.dronacharyaacademy.co.in,29698.386614,4,1,133,7388,29,95,0.021235,0.028318,0.039995,0.352326,3276816,5791744,1374
5,http://www.magnificentbudapest.hu,29701.292785,3,1,18,3727,14,15,0.024531,0.008929,0.019767,0.094023,2367264,4083712,2731
6,https://www.westcoastdancearts.com,29703.927774,2,2,306,724,15,36,0.022086,0.020387,0.198662,0.690539,12621008,31481856,2079
7,https://www.rinologiayolfato.com,29713.074415,3,10,286,20750,26,37,0.027105,0.020481,0.13988,0.633032,20890292,39997440,4053
8,https://www.totallyu.co.uk,29718.966562,1,5,409,3168,37,126,0.04509,0.048702,0.224388,1.047073,13404620,32268288,4728
9,https://norbutmfg.com,29723.261999,7,4,162,9644,56,131,0.048431,0.091324,0.090615,0.418062,5248120,9986048,3709
10,http://www.fahrschule-frey.de,29729.857059,9,4,173,6547,25,36,0.018798,0.008422,0.023494,0.111875,3625304,5005312,6300
11,https://www.kinnelaw.com,29733.095027,3,1,0,578,7,1,0.003114,0.000803,0.000395,0.022118,1288608,3035136,3065
12,https://www.fernandawr.com,29740.070284,3,1,57,26045,31,26,0.047499,0.015378,0.013944,0.358113,3134692,4468736,6137
13,https://www.futurephysio.com,29746.927518,4,1,26,7292,19,39,0.014376,0.020462,0.051897,0.14847,4314716,7102464,6579
14,https://www.osteopathcanada.com,29870.412418,1,1,254,12108,18,18,0.018031,0.008282,0.08837,0.356129,12889896,22884352,2421
15,https://uuq-optic.com,29876.449349,2,5,561,88981,47,97,0.046564,0.159564,0.233815,1.192393,8826828,19947520,4463
16,https://nwtacticaltraining.com,29879.470809,5,3,140,2917,9,7,0.004453,0.002001,0.061413,0.101209,3180040,5791744,2863
17,https://www.grupoholguera.com,29885.488476,13,10,420,12525,49,83,0.032815,0.019999,0.09965,0.36426,6148212,10465280,5243
18,https://www.oxygen360.com.au,29893.919124,4,1,54,2165,18,19,0.005921,0.008349,0.080156,0.181774,5919504,9986048,5106
19,https://tamerakdesign.com,29897.528009,4,1,133,9407,44,66,0.042473,0.038597,0.137782,0.388792,7680084,11943936,2826
