S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,https://ricsons.com/,95941.441848,8,8,559,10388,39,79,0.034799,0.058444,0.717347,1.130827,14508664,23355392,5793
2,https://ricsons.com/,95957.947354,8,8,573,12724,36,68,0.033547,0.053704,0.65039,1.043621,14967232,23982080,4947
3,https://ricsons.com/,95966.208681,8,8,569,10143,35,72,0.026933,0.050812,0.648003,1.023906,13454916,23093248,5038
4,https://ricsons.com/,95973.833267,8,8,577,10174,36,82,0.053374,0.057416,0.683127,1.150735,14070196,23879680,5171
5,https://ricsons.com/,95981.283227,8,8,582,10153,38,91,0.033886,0.057263,0.701794,1.184274,13869900,22831104,4909
6,http://www.uttrakhandtaxi.com,95994.401906,1,4,161,27832,79,130,0.055862,0.043538,0.289962,0.646413,8571548,19030016,1851
7,http://www.uttrakhandtaxi.com,96001.690571,1,4,159,28080,150,205,0.044761,0.057871,0.289706,0.691271,8382048,19030016,3054
8,http://www.uttrakhandtaxi.com,96007.857364,2,4,159,25742,151,209,0.049614,0.052793,0.287065,0.654097,8366032,19030016,3042
9,http://www.uttrakhandtaxi.com,96015.043415,1,4,159,34650,151,210,0.047593,0.056719,0.285024,0.653219,8452036,19292160,3929
10,http://www.uttrakhandtaxi.com,96020.844253,1,4,162,38929,146,201,0.053004,0.052899,0.275691,0.673517,8390720,18763776,3069
