S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,114678.626019,5,5,118,8522,21,20,0.052751,0.04954,0.055742,0.316476,5791544,16211968,4590
2,http://www.altreetz-online.de,114679.223283,4,2,35,2627,6,5,0.009796,0.002787,0.000208,0.054073,1842268,3297280,4771
3,https://www.rechtsanwalt-moellers.de,114679.563991,3,1,15,6161,20,23,0.009752,0.005796,0.024834,0.097887,2701764,4608000,4075
4,http://www.csjfilter.com,114683.444102,3,1,32,4242,38,202,0.038654,0.038626,0.035678,0.266493,2446176,3956736,10831
5,https://heilpraktiker-silke-wagner.de,114684.941962,3,1,174,12152,35,38,0.139763,0.041397,0.132785,0.457777,6342712,10248192,3537
6,https://mondo.cl,114685.506903,4,1,45,5194,29,73,0.017565,0.027669,0.066631,0.273212,4269212,6840320,6001
7,https://hi-management.com,114686.379354,4,1,107,15204,164,174,0.108883,0.096659,0.159201,0.732677,8054432,12050432,4130
8,https://www.rayun.cl,114687.045719,2,4,216,12950,91,411,0.062933,0.115608,0.389513,1.071624,9728552,19161088,11232
9,http://www.csjlfz.com,114688.140861,5,6,274,21136,35,96,0.055543,0.084135,0.220375,0.711081,14764024,28520448,4807
10,https://woolfplumbing.com.au,114689.860376,7,8,427,39125,50,538,0.069419,0.167607,0.332533,1.438005,14520348,22118400,5322
11,https://hospitalismaelroldan.gov.co,114690.80691,34,19,354,22605,69,113,0.159745,0.085876,0.287005,0.995537,14346728,21135360,8718
12,https://freedomfabmt.com,114692.321236,1,1,233,10498,95,158,0.141142,0.095672,0.243786,1.349116,4265132,7102464,6183
13,https://www.tsv-simbach.de,114693.418879,2,2,168,17725,120,183,0.058422,0.075703,0.233757,0.710904,6801304,12345344,7888
14,https://www.kampasa.fr,114694.153453,3,4,371,34596,24,26,0.064519,0.046177,0.377981,1.375105,23591232,37650432,3066
15,https://www.autocaresalcaide.net,114694.772781,14,9,257,24808,46,158,0.089618,0.098013,0.317231,1.093816,4524816,9986048,4591
16,https://hairlounge-lueneburg.de,114695.189063,4,1,102,3157,19,156,0.020398,0.032888,0.058608,0.305125,2429808,4218880,5169
17,https://www.pflegeverbund-opf.de,114695.982427,4,1,411,20369,25,61,0.075788,0.062944,0.152528,0.696486,5207132,10510336,5811
18,https://www.tiddleschildcare.co.uk,114696.97393,10,3,110,14789,53,48,0.070929,0.038924,0.108998,0.556553,4123660,9232384,4107
19,https://safen.sk,114698.247108,4,4,214,45174,51,95,0.173723,0.238083,0.280934,1.248063,9530140,19861504,7263
20,https://www.teammania.de,114699.164991,1,1,94,6846,39,371,0.110342,0.060236,0.282075,1.05431,4207040,14966784,2481
21,https://www.yara.co.zm,114699.45767,4,5,405,184823,16,20,0.026957,0.044572,0.187174,0.974552,5344316,13922304,4033
22,http://www.mobilitas-physiotherapie.de,114699.942036,3,1,27,9371,17,12,0.032567,0.021485,0.05219,0.242576,2847076,4620288,3457
23,http://www.csk-guidelineari.com,114700.132919,3,1,38,2099,5,4,0.006376,0.002039,0.012504,0.074715,1740200,3694592,3076
24,http://shalomeuropa.de,114700.614252,4,3,233,10459,57,114,0.023524,0.030869,0.138078,0.415193,3640480,6053888,6682
25,https://www.gs-wallertheim.de,114701.901241,10,4,241,6834,46,45,0.06238,0.028897,0.186529,0.482219,9427220,13754368,4837
26,https://www.tennisclub-weiler.de,114703.039108,1,1,129,5938,49,173,0.087201,0.102369,0.241223,1.029241,4415156,10248192,6353
27,http://www.schmidt-umzuege-trier.de,114703.801554,3,1,119,20639,83,251,0.063917,0.107063,0.169439,0.740205,4774904,9461760,6995
28,https://www.woond.nl,114704.38081,5,1,46,4975,25,53,0.023418,0.028895,0.131881,0.290688,4176932,8937472,4502
29,https://www.via4spine.de,114704.919039,4,1,157,31810,45,54,0.062911,0.056129,0.068013,0.419201,4266380,8839168,4258
30,https://www.architektura-bielsko.pl,114705.16983,3,1,2,1191,6,1,0.006311,0.00303,0.009548,0.078538,1772488,3694592,4701
31,http://www.gabdesigns.co.uk,114705.598089,3,1,0,2419,7,17,0.012087,0.003338,0.000911,0.082045,1313144,3035136,3282
32,https://www.mmkn.org,114708.775663,1,1,282,19079,352,671,0.133198,0.113393,0.399061,1.245725,14183784,24092672,4579
33,https://www.getriebenotdienst.de,114710.888727,2,2,1173,61313,103,122,0.28598,0.173596,0.104369,1.416758,3290888,9244672,4389
34,https://www.sv-naturstein.de,114711.622233,3,1,24,4989,47,46,0.018748,0.011286,0.032833,0.187787,2752116,4481024,4465
35,https://mindfulnesseveryday.org,114712.878984,1,1,99,13205,46,51,0.076724,0.067511,0.115578,0.626597,5446816,11464704,5129
36,https://www.dinnede-manufaktur.eu,114714.234863,3,1,20,14774,24,27,0.069158,0.020372,0.034443,0.260429,3686376,5005312,4484
37,https://www.la-choue.com,114715.155454,2,4,495,36241,67,266,0.224893,0.216687,0.276289,1.466862,7330752,16539648,5155
38,https://hogarprestige.com,114715.655998,15,5,217,2324,60,67,0.157667,0.077492,0.252564,0.898942,8462732,19361792,7714
39,https://wolksoftcr.com,114716.596793,9,14,465,25228,58,193,0.155776,0.254552,0.568749,2.391448,11620648,31481856,8329
40,http://www.lazyriveroutpost.com,114717.602071,6,5,50,6685,37,139,0.014811,0.033156,0.106322,0.402403,4287028,5529600,7603
41,https://www.xn--colosseum-rheinbllen-jbc.de,114718.397344,11,5,296,28128,227,228,0.086099,0.066926,0.088642,0.637027,6017172,11296768,4900
