S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,111536.787206,5,5,118,9080,21,24,0.057917,0.053989,0.061859,0.358178,5917560,16211968,5085
2,https://www.rechtsanwalt-moellers.de,111537.198141,3,1,15,6161,21,24,0.013308,0.007361,0.031203,0.122496,2671212,4608000,4339
3,https://heilpraktiker-silke-wagner.de,111539.4406,3,1,199,12153,40,54,0.076528,0.035721,0.132188,0.398459,6160292,9986048,3381
4,http://www.csjfilter.com,111541.077584,3,1,32,4257,35,212,0.043449,0.052451,0.048456,0.349403,2423900,3956736,11061
5,http://www.csjlfz.com,111541.859604,4,4,302,9545,34,99,0.052191,0.090356,0.267827,0.756776,7682944,15753216,3983
6,https://hi-management.com,111542.748978,4,1,107,15180,155,166,0.120807,0.091367,0.219027,0.79602,8054836,12050432,4164
7,https://www.rayun.cl,111543.480662,2,4,214,12950,66,304,0.06847,0.133323,0.491418,1.175073,12032876,19574784,11627
8,https://mondo.cl,111544.094154,4,1,67,5194,29,80,0.025646,0.04009,0.116858,0.361877,4374756,7102464,7278
9,https://woolfplumbing.com.au,111545.488181,8,8,428,39129,50,411,0.089763,0.144635,0.416318,1.384721,14668660,22380544,5463
10,https://freedomfabmt.com,111548.540587,1,1,241,11239,91,130,1.645491,0.175075,0.199805,2.691267,4822288,7364608,6559
11,https://www.kampasa.fr,111549.250637,3,4,364,3259,22,32,0.084647,0.038628,0.270619,1.182785,16945496,31363072,2926
12,https://www.tsv-simbach.de,111550.362397,6,2,193,36139,131,191,0.062393,0.081869,0.228052,0.720686,9912204,18010112,8009
13,https://hospitalismaelroldan.gov.co,111551.162528,18,19,246,14356,68,113,0.147437,0.077671,0.352778,1.174032,10746348,20959232,12044
14,https://www.autocaresalcaide.net,111551.654194,6,8,83,2196,55,195,0.082445,0.122241,0.287503,1.064767,3559376,8675328,4277
15,https://hairlounge-lueneburg.de,111551.958166,4,1,102,3157,20,157,0.011679,0.025032,0.056626,0.271831,2463176,4218880,4942
16,https://www.tiddleschildcare.co.uk,111552.854172,10,3,110,14925,120,153,0.071712,0.046674,0.095441,0.709518,4703808,8970240,4322
17,https://safen.sk,111554.019415,4,4,212,45117,53,92,0.368899,0.228247,0.226866,1.344195,9140196,19861504,7288
18,https://www.pflegeverbund-opf.de,111554.825046,4,1,412,20371,28,79,0.123332,0.055693,0.147821,0.681771,5179396,10248192,6340
19,https://www.yara.co.zm,111555.043925,5,5,406,184869,20,25,0.02352,0.029954,0.202305,0.95965,5343936,13922304,3425
20,https://www.teammania.de,111555.974429,2,1,94,6850,37,358,0.106246,0.059726,0.28718,0.926498,5303112,10510336,3459
21,http://www.mobilitas-physiotherapie.de,111556.480068,3,1,27,9371,14,11,0.025622,0.017246,0.043193,0.218911,2845608,5144576,3538
22,http://shalomeuropa.de,111556.91122,4,3,235,10460,55,142,0.033059,0.030804,0.11299,0.355188,3581156,6053888,6597
23,https://www.tennisclub-weiler.de,111557.849301,1,1,130,5938,53,154,0.095104,0.099258,0.240171,0.997508,4403168,10510336,4693
24,http://www.csk-guidelineari.com,111558.046986,3,1,38,2099,5,4,0.015704,0.001238,0.01299,0.072609,1740176,3694592,3526
25,http://www.schmidt-umzuege-trier.de,111559.096317,3,1,117,20489,77,166,0.076712,0.067382,0.127805,0.555097,4348328,9723904,6556
26,https://www.woond.nl,111559.662745,5,1,46,4970,27,42,0.021836,0.025955,0.106345,0.258362,4159684,8937472,3978
27,https://www.via4spine.de,111560.648093,4,1,157,31805,28,37,0.055864,0.041619,0.060629,0.340468,4261492,8839168,4031
28,http://www.cruiseoptionsonline.com,111560.835023,5,2,33,381,5,4,0.007457,0.001664,0.001028,0.04189,1243924,3035136,4102
29,http://www.gabdesigns.co.uk,111561.549224,3,1,0,2419,7,22,0.008379,0.003778,0.001089,0.073461,1313660,3035136,3158
30,http://www.grundschule-zum-obersten-holz.de,111562.334725,3,1,14,5548,21,24,0.009227,0.005311,0.022318,0.08795,2763152,4743168,3960
31,https://www.gs-wallertheim.de,111564.517134,10,4,241,6705,50,45,0.06494,0.020336,0.173965,0.45794,8832220,13209600,11168
32,https://www.architektura-bielsko.pl,111564.838411,3,1,2,1191,7,1,0.004602,0.003619,0.012568,0.087453,1772512,3694592,7516
33,https://mindfulnesseveryday.org,111567.029454,1,1,99,13186,40,48,0.073959,0.044763,0.103728,0.484801,5277796,11202560,4954
34,https://wolksoftcr.com,111568.883852,9,13,360,3585,59,203,0.145312,0.302711,0.527611,2.291294,10492248,31481856,6015
35,https://www.getriebenotdienst.de,111570.035768,2,2,1173,61292,95,116,0.2163,0.142658,0.086522,1.199115,4812476,11096064,5400
36,https://hogarprestige.com,111570.46549,15,5,223,2287,63,68,0.109218,0.053469,0.227297,0.78299,8467184,19361792,7847
37,https://www.sv-naturstein.de,111571.156518,3,1,24,4989,49,49,0.037857,0.01745,0.054458,0.291441,2757200,4218880,4676
38,https://www.la-choue.com,111572.250976,2,4,493,36279,67,239,0.291121,0.231694,0.369548,1.660028,8384828,16277504,5194
39,https://www.dinnede-manufaktur.eu,111573.896141,3,1,20,14774,24,28,0.056756,0.017828,0.040026,0.225642,3686292,5005312,5851
40,https://www.xn--colosseum-rheinbllen-jbc.de,111576.440555,11,5,296,28128,148,150,0.061493,0.048205,0.1278,0.569597,6051088,11034624,5392
41,https://www.bunert.de,111578.33423,15,15,730,42146,82,120,0.098604,0.104178,0.417464,1.656402,9005724,19423232,5874
42,http://koniksport.pl,111580.037125,4,4,201,13995,44,175,0.113968,0.135566,0.241404,1.362101,7647092,17063936,5596
43,https://escapethis.place,111581.049356,13,9,14,7432,9,9,0.029565,0.013128,0.117169,0.30544,5041840,7102464,5982
44,https://dieschreyers.com,111581.965766,1,1,41,9800,47,70,0.038652,0.059093,0.107749,0.527079,2693448,5005312,7026
45,http://www.praxis-kirchmeyer.de,111582.446213,12,4,518,7192,277,448,0.137671,0.090908,0.07149,0.727542,3355852,6316032,9469
46,https://www.nppaa.net,111582.579573,3,1,21,1266,15,20,0.005442,0.011012,0.150124,0.252708,6951772,11128832,6998
47,https://www.murphys-tattoo.de,111582.891099,6,2,47,7306,25,34,0.029153,0.01773,0.116034,0.295676,5620000,9801728,5398
48,https://www.codeunique.de,111585.443447,2,2,87,13415,31,72,0.054777,0.052257,0.030429,0.666787,2370440,5005312,26640
49,https://www.thevintagehampercompany.uk,111585.64703,7,3,14,626,11,11,0.009579,0.003192,0.157395,0.270206,4726508,7364608,2849
50,https://www.leni-parkett.de,111586.920889,4,1,21,3963,14,13,0.023917,0.012464,0.015076,0.13741,1905252,3821568,3339
51,https://www.ariesdogland.com,111587.907518,4,6,270,8962,26,25,0.070137,0.021287,0.158347,0.817407,18088212,36700160,4352
52,http://www.xn--mhrke-gastrotechnik-q6b.de,111588.176365,3,1,0,589,6,4,0.003672,0.001114,0,0.04946,1249104,3297280,3923
53,https://tyremanmc.com.au,111589.384188,6,9,180,26019,84,110,0.186695,0.073308,0.515554,1.3877,13157864,31821824,6767
54,https://www.drbaby2th.com,111590.408648,15,7,227,17483,148,272,0.175835,0.106434,0.251719,1.091639,10239136,14163968,4395
55,http://www.gjcargo.com,111591.979051,4,1,71,10995,100,191,0.407861,0.243307,0.130886,1.18496,4366732,9199616,3656
56,https://dkcare247.co.uk,111593.651894,4,1,82,31675,34,75,0.160767,0.191164,0.146496,1.020129,7008024,10977280,4896
57,https://www.boersenblatt.net,111597.189926,8,5,6765,352139,170,852,0.698896,0.51406,0.718882,5.657799,13622356,32268288,11929
58,http://www.bmtinc.us,111598.602575,4,3,61,2397,16,39,0.095506,0.027256,0.138789,0.401924,3859800,6316032,5725
59,https://campinggranby.com,111600.599446,3,3,134,24081,124,540,0.214572,0.396575,0.684927,2.500704,10951768,18620416,8019
60,http://www.nazionale.net,111600.891871,8,7,39,1237,21,25,0.015303,0.005715,0.168887,0.294452,5530872,9723904,7631
61,https://www.logistaparcel.com,111601.926651,18,11,136,26073,25,37,0.041678,0.046435,0.125465,0.448878,6433732,11358208,5017
62,https://www.cslmha.com,111602.757022,2,11,292,2107,48,90,0.04327,0.053903,0.522169,1.23912,14568716,24928256,6703
63,http://www.cskonferencia.sk,111604.471943,77,77,323,16849,55,71,0.199812,0.228324,0.134452,1.426406,4263208,6578176,10350
64,https://www.cslmgmt.com,111604.685392,8,5,25,483,14,16,0.014947,0.004223,0.135632,0.249694,4963796,7626752,3192
65,https://praxisgemeinschaft-am-ringelberg.de,111605.539051,3,2,184,20350,43,64,0.082197,0.048624,0.304438,0.789643,7887124,17326080,5429
66,https://www.henderson-engineers.co.uk,111606.225969,4,1,36,6275,30,32,0.041672,0.036638,0.031183,0.254328,3201340,9900032,1844
