S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,274188.576862,6,5,118,9594,21,22,0.044508,0.044079,0.057461,0.27734,6632860,16474112,4747
2,https://www.rechtsanwalt-moellers.de,274189.279017,3,1,15,6161,20,23,0.011384,0.00637,0.020657,0.086667,2687516,4608000,3993
3,https://www.rayun.cl,274190.225351,2,4,221,13004,57,177,0.033705,0.06174,0.304637,0.657215,14809748,28614656,7671
4,https://heilpraktiker-silke-wagner.de,274191.393587,3,1,213,12157,42,57,0.046316,0.024332,0.099234,0.28129,6341092,11821056,3161
5,http://www.csjlfz.com,274192.122435,7,3,159,20986,15,21,0.036591,0.040872,0.023569,0.243245,2693404,4763648,2857
6,https://hi-management.com,274192.894033,4,1,107,15036,121,129,0.06255,0.0572,0.135138,0.474668,7827500,12312576,3441
7,https://mondo.cl,274193.679793,4,1,67,5194,35,42,0.01581,0.020658,0.06495,0.193512,4282444,7364608,6157
8,https://woolfplumbing.com.au,274194.771147,2,3,358,8952,37,257,0.057237,0.085662,0.224904,0.726539,5660268,12083200,4055
9,https://hospitalismaelroldan.gov.co,274195.33984,18,19,245,22344,66,133,0.075423,0.061143,0.392341,0.878903,12840524,21397504,7743
10,https://www.kampasa.fr,274195.965442,1,2,347,1685,26,34,0.037421,0.026979,0.293264,0.920333,13255108,32673792,3265
11,https://freedomfabmt.com,274197.690147,1,1,230,10656,86,115,0.108691,0.734947,0.139981,1.545744,4078904,9461760,6298
12,https://safen.sk,274198.579116,4,4,211,45168,53,100,0.142654,0.17435,0.152192,0.832303,9046700,19599360,4436
13,https://www.pflegeverbund-opf.de,274199.171994,4,1,411,20365,28,77,0.05308,0.042562,0.096468,0.462775,5092212,10248192,4735
14,https://www.tsv-simbach.de,274199.973215,6,2,187,36027,95,134,0.040853,0.044944,0.165778,0.500846,9555972,17747968,7379
15,https://www.tiddleschildcare.co.uk,274200.650671,10,3,110,14573,45,38,0.046638,0.01967,0.056989,0.345988,3516164,8445952,3135
16,https://hairlounge-lueneburg.de,274200.900894,4,1,102,3157,18,97,0.011279,0.012778,0.042127,0.190986,2290960,4481024,4842
17,https://www.autocaresalcaide.net,274201.281469,14,9,261,24953,53,205,0.042625,0.07808,0.190372,0.786262,4286584,6053888,6368
18,https://www.yara.co.zm,274201.458994,4,5,406,186062,24,28,0.030696,0.039476,0.193723,0.862138,8025488,16826368,3130
19,https://www.teammania.de,274202.16691,1,1,94,6846,45,346,0.111612,0.051568,0.2142,0.851443,6632308,14180352,3180
20,http://www.mobilitas-physiotherapie.de,274202.59484,3,1,27,9371,15,10,0.014735,0.013801,0.026897,0.148651,2845608,4620288,2637
21,http://shalomeuropa.de,274203.393138,4,3,233,10459,49,94,0.02599,0.017868,0.062403,0.242252,3972908,6053888,5161
22,http://www.csk-guidelineari.com,274203.626471,3,1,38,2099,5,4,0.004236,0.000701,0.037125,0.076333,1740216,3694592,2441
23,https://www.tennisclub-weiler.de,274204.922183,1,1,129,5938,44,166,0.049453,0.064568,0.146083,0.666491,4409968,10772480,4886
24,https://www.gs-wallertheim.de,274205.952367,10,4,240,6705,45,42,0.052744,0.01639,0.112708,0.309299,9416748,13471744,4212
25,http://www.schmidt-umzuege-trier.de,274206.608061,3,1,117,20490,82,222,0.041365,0.070096,0.122248,0.540889,4512288,9199616,4881
26,https://www.woond.nl,274206.977336,5,1,55,4981,25,55,0.010433,0.016524,0.09273,0.191267,5741528,9199616,2763
27,http://www.cruiseoptionsonline.com,274207.086103,5,2,33,381,5,4,0.003748,0.000902,0.000595,0.024658,1243924,3297280,2477
28,https://www.via4spine.de,274207.520567,4,1,157,31808,31,37,0.044783,0.038222,0.048753,0.311139,4265632,8839168,3291
29,https://www.architektura-bielsko.pl,274207.691814,3,1,2,1191,7,1,0.004707,0.002178,0.007018,0.042123,1772528,3694592,3286
30,http://www.cheproeng.com,274208.196617,3,1,199,9074,168,213,0.080163,0.064779,0.106908,0.405911,5409696,9723904,5632
31,http://www.gabdesigns.co.uk,274209.338266,3,1,0,2419,7,16,0.007102,0.002218,0.00061,0.041151,1313144,3035136,2444
32,https://www.mmkn.org,274211.128876,1,1,282,19079,354,679,0.097756,0.065422,0.397174,0.914428,14170884,24092672,3254
33,https://mindfulnesseveryday.org,274213.097171,1,1,147,18181,35,40,0.036148,0.021703,0.071764,0.316448,5972564,12263424,4400
34,https://www.getriebenotdienst.de,274214.003759,2,2,1173,61078,99,124,0.166784,0.102541,0.060277,0.922591,4034752,9814016,3972
35,https://www.sv-naturstein.de,274214.558175,3,1,24,4989,52,52,0.012381,0.005983,0.01897,0.099238,2752116,4218880,4546
36,https://hogarprestige.com,274214.868979,16,5,234,16391,55,66,0.061972,0.04109,0.137036,0.520492,10263784,18837504,6838
