S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,274943.212488,5,5,118,8269,20,20,0.056154,0.057602,0.071713,0.334304,5791240,16211968,4946
2,https://www.rechtsanwalt-moellers.de,274943.436442,3,1,15,6161,19,22,0.007999,0.004086,0.01876,0.080148,2687540,4608000,3719
3,https://www.rayun.cl,274945.709528,2,4,221,6669,56,195,0.030072,0.063072,0.286262,0.644276,8923328,19685376,8673
4,http://www.csjlfz.com,274946.447223,7,3,152,20945,16,16,0.042514,0.039207,0.015891,0.273904,2613672,4501504,3279
5,http://www.csjfilter.com,274947.677745,3,1,32,4242,38,218,0.041322,0.042905,0.032066,0.279558,2413284,3956736,10949
6,https://heilpraktiker-silke-wagner.de,274948.96107,3,1,178,12151,36,51,0.063341,0.039211,0.115203,0.3614,6540612,11296768,4179
7,https://mondo.cl,274949.406957,4,1,45,5194,27,70,0.015944,0.027467,0.062752,0.229549,4266620,7102464,6055
8,https://hi-management.com,274950.087119,4,1,107,15184,154,168,0.101715,0.064818,0.16999,0.598037,8039380,12050432,4626
9,https://woolfplumbing.com.au,274951.144583,9,8,427,39133,51,409,0.049647,0.112779,0.274033,1.068506,14863264,22118400,5427
10,https://hospitalismaelroldan.gov.co,274951.842215,18,19,246,22455,69,118,0.154798,0.09385,0.266013,0.970619,13101232,21397504,9591
11,https://www.kampasa.fr,274952.491854,1,2,347,1711,25,31,0.086944,0.047097,0.215947,1.121092,13126476,31887360,3362
12,https://www.tsv-simbach.de,274953.352962,6,2,189,36124,105,125,0.046777,0.048537,0.176417,0.500426,9602428,18010112,6619
13,https://www.pflegeverbund-opf.de,274954.336499,4,1,412,20379,26,80,0.080323,0.062114,0.130208,0.578082,5087332,10248192,4297
14,https://freedomfabmt.com,274955.94448,1,1,235,16424,58,87,0.112215,0.354804,0.169085,2.201688,5839236,8273920,9822
15,https://www.tiddleschildcare.co.uk,274956.386043,10,3,110,14650,37,36,0.060332,0.027022,0.05652,0.404202,3501108,8708096,3451
