id,url,title,RTime,PTime(sec),TTime(sec)
7,https://www.midiforkids.com,,0,0.334,0.386703
3,http://www.ecan.be,Collège Abbé Noël – Un tremplin pour la vie,4513,5.307,5.356231
4,http://www.altreetz-online.de,Altreetz und Umgebung: Home,4343,4.6,4.648716
5,https://www.rechtsanwalt-moellers.de,Rechtsanwalt Möllers - Startseite,3744,3.952,4.001405
13,https://woolfplumbing.com.au,Woolf Plumbing & Gas: The Plumbing & Gas Expert in Perth,2582,3.812,3.88227
9,https://heilpraktiker-silke-wagner.de,Aktuelles,4426,5.764,6.182102
2,https://www.rayun.cl,Rayün Montessori – Sala Cuna y Jardín Infantil – Sala Cuna y Jardín Infantil,12109,12.698,12.749253
10,http://www.csjlfz.com,"Dress, Jacket, Long Sleeve | China Manufacturer Changshu Jieliang Knitting Co., Ltd.",5726,6.984,7.053086
15,https://avediscorp.com,,2408,2.447,2.528612
6,https://hospitalismaelroldan.gov.co,Hospital Ismael Roldán Valencia |,8113,9.759,9.809855
11,https://hi-management.com,Home - H•I Management,6030,7.873,7.922266
14,https://www.tsv-simbach.de,TSV Simbach a. Inn |,6961,12.155,12.223978
12,https://freedomfabmt.com,"Freedom Fabrication | Excavation, Landscaping, Concrete, Snow Removal Services | Montana",7468,13.162,13.233989
20,https://hairlounge-lueneburg.de,Ihr Friseursalon in Lüneburg | Hairlounge by Sandra Ritter,2885,6.63,6.702413
16,https://safen.sk,SAFEN | Komplexné služby BOZP a OPP,4855,9.123,9.186349
17,https://www.kampasa.fr,Marie Durand,4320,9.196,9.269107
8,https://mondo.cl,Officio Mondo,11969,17.015,17.06028
19,https://www.pflegeverbund-opf.de,Ambulante Pflege | Waidhaus | Ambulanter Pflegeverbund,4426,9.573,9.680805
18,https://www.autocaresalcaide.net,Autocares Alcaide,4674,9.737,9.854668
21,https://www.tiddleschildcare.co.uk,Tiddles Childcare – An outstanding childcare provider,4458,9.396,9.460345
23,https://www.teammania.de,Team Mania - SPIELBASIERTES LERNEN & CORPORATE ESCAPE GAMES,2240,4.696,4.779971
22,https://www.yara.co.zm,Yara Zambia,2832,4.873,4.964497
25,http://www.mobilitas-physiotherapie.de,Physiotherapie & Osteopathie für Hunde & Katzen,3732,4.196,4.288672
24,http://shalomeuropa.de,Startseite,5675,6.116,6.163535
30,http://www.elevake.eu,,3468,3.494,3.562577
28,https://www.gs-wallertheim.de,GS Wallertheim,4486,5.701,5.884872
34,http://www.cruiseoptionsonline.com,Index of /,2245,2.431,2.479042
29,http://www.csk-guidelineari.com,Plesk Obsidian 18.0.63,5607,5.952,6.041132
32,https://www.woond.nl,WOOND Ulft - Expert in bekleden of renoveren van uw trap of vloer,3714,4.431,4.487081
26,https://www.tennisclub-weiler.de,Tennisclub Weiler – Tennis spielen in Weiler im Allgäu,6871,8.059,8.121562
33,https://www.via4spine.de,Wirbelsäulenchirurgie - Via 4 Spine Wirbelsäulenchirurgie,4402,4.853,4.908113
41,http://www.csjmpw.com,,0,0.113,0.165614
35,https://www.architektura-bielsko.pl,"Biuro architektoniczne w Bielsku : Tomasz Köhler : architekt bielsko, architekt bielsko-biała, architekt śląsk",3471,3.663,3.758912
31,http://www.cheproeng.com,Check Process Engineering,6672,7.02,7.083605
37,http://www.grundschule-zum-obersten-holz.de,,0,3.177,3.233678
38,http://www.gabdesigns.co.uk,"GaB Designs,Printed Circuit Board design (PCB) - Home Page",2751,3.055,3.103285
45,http://www.terayne.com,,0,0.13,0.234643
27,http://www.schmidt-umzuege-trier.de,Schmidt Umzüge Trier - Schmidt Umzuege: Mit Vertrauen umziehen!,12019,12.806,12.880941
39,https://www.mmkn.org,MMKN,4788,6.259,6.33205
42,https://mindfulnesseveryday.org,Mindfulness Everyday | Mindfulness Everyday,5420,6.721,6.76883
40,https://hogarprestige.com,"Hogar Prestige ""Vive Tus Sueños""",7253,7.86,7.914674
46,https://www.sv-naturstein.de,Startseite | SV Naturstein - Inhaber Stefan Vepschek,5098,6.107,6.211386
43,https://wolksoftcr.com,Wolksoft | Soluciones Tecnológicas a la Medida,7205,8.94,8.985302
44,https://www.getriebenotdienst.de,Getriebereparatur | Ihr Fachmann für Getriebe,6421,9.11,9.191306
50,http://www.praxis-kirchmeyer.de,,0,3.671,3.798138
47,https://www.la-choue.com,Accueil - Brasserie de Vauclair - La Choue,6236,9.587,9.641617
48,https://www.dinnede-manufaktur.eu,DINNEDE MANUFAKTUR - FELDBÄCKEREY | FLEISCHBRÄTEREY | WURSTBRÄTEREY,5076,7.642,7.727969
36,https://www.codeunique.de,Willkommen - CODE UNIQUE Architekten,11528,14.437,14.517096
51,https://www.xn--colosseum-rheinbllen-jbc.de,Hotel Ristorante Colosseum - Startseite,4114,5.981,6.041788
