S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,451065.494299,5,5,118,15064,27,26,0.057268,0.04595,0.052599,0.337755,7191628,16748544,4513
2,http://www.altreetz-online.de,451065.805973,4,2,35,2627,6,5,0.008408,0.002555,0.000182,0.060289,1842268,3297280,4343
3,https://www.rechtsanwalt-moellers.de,451066.159111,3,1,15,6161,20,23,0.015363,0.004391,0.0201,0.090042,2696964,4608000,3744
4,https://woolfplumbing.com.au,451070.00028,2,3,360,8520,35,118,0.04878,0.044614,0.1895,0.474778,5791112,12083200,2582
5,https://heilpraktiker-silke-wagner.de,451071.320385,3,1,199,12156,44,45,0.094962,0.041209,0.124874,0.483473,6393692,11558912,4426
6,https://www.rayun.cl,451071.898073,2,4,221,12950,59,263,0.046041,0.089988,0.303845,0.808381,10679124,19836928,12109
7,http://www.csjlfz.com,451072.542847,3,3,177,9333,31,35,0.063037,0.051305,0.113973,0.503455,4263280,14704640,5726
8,https://hospitalismaelroldan.gov.co,451072.945256,37,20,355,22655,62,98,0.087907,0.057451,0.244587,0.823981,14597344,21659648,8113
9,https://hi-management.com,451073.710964,4,1,107,15168,163,179,0.101713,0.062779,0.137638,0.625323,8017200,11788288,6030
10,https://www.tsv-simbach.de,451079.360017,2,2,169,17826,101,149,0.054117,0.056626,0.19953,0.605883,6729912,16015360,6961
11,https://freedomfabmt.com,451078.787703,2,1,242,12618,54,83,0.075944,1.213919,0.190397,5.29081,6507200,12328960,7468
12,https://hairlounge-lueneburg.de,451079.67508,4,1,102,3157,24,117,0.012628,0.019165,0.049262,0.213366,2524664,4743168,2885
13,https://safen.sk,451080.515636,4,5,206,45200,40,54,0.121725,0.12673,0.17601,0.871174,8911108,20123648,4855
14,https://www.kampasa.fr,451081.145448,1,2,346,1685,27,28,0.056984,0.027226,0.159883,0.975498,12945968,32268288,4320
15,https://mondo.cl,451081.607754,4,1,75,5194,39,89,0.026068,0.036122,0.085936,0.318881,4392568,6840320,11969
16,https://www.pflegeverbund-opf.de,451082.254764,4,1,412,20375,28,73,0.047319,0.050537,0.123314,0.497888,5206040,9986048,4426
17,https://www.autocaresalcaide.net,451082.405965,5,7,79,2256,42,85,0.049046,0.059489,0.195681,0.824988,3221516,9461760,4674
18,https://www.tiddleschildcare.co.uk,451083.162365,3,3,69,1570,188,235,0.081724,0.047734,0.123315,0.806493,2716284,5005312,4458
19,https://www.teammania.de,451084.159223,8,3,102,10490,40,54,0.102567,0.015737,0.149481,0.498809,5624296,10510336,2240
20,https://www.yara.co.zm,451084.350312,5,5,406,187621,15,19,0.021289,0.036645,0.180173,0.905392,8014068,12652544,2832
21,http://www.mobilitas-physiotherapie.de,451084.817947,3,1,27,9368,14,13,0.022394,0.016497,0.029613,0.194458,2836656,4620288,3732
22,http://shalomeuropa.de,451085.82458,4,3,233,10459,51,75,0.012179,0.017267,0.064484,0.238437,3357760,8413184,5675
23,https://www.gs-wallertheim.de,451088.122025,10,4,241,6705,33,69,0.053125,0.023546,0.15416,0.434018,6646100,11214848,4486
24,http://www.cruiseoptionsonline.com,451088.3125,5,2,33,381,6,4,0.005125,0.001389,0.000999,0.038112,1275872,3035136,2245
25,http://www.csk-guidelineari.com,451088.461869,9,4,300,5492,11,10,0.021138,0.015958,0.178715,0.404901,11683784,19161088,5607
26,https://www.woond.nl,451088.836254,5,1,55,4977,28,54,0.017706,0.02291,0.082398,0.241762,5723148,9461760,3714
27,https://www.tennisclub-weiler.de,451089.290598,2,1,129,5971,69,172,0.097508,0.086766,0.200473,0.916671,5306068,10510336,6871
28,https://www.via4spine.de,451089.730424,4,1,157,31805,32,43,0.057066,0.035903,0.042106,0.337747,4263940,8577024,4402
29,https://www.architektura-bielsko.pl,451090.516142,3,1,2,1191,7,1,0.003963,0.001336,0.008602,0.056958,1772560,3694592,3471
30,http://www.cheproeng.com,451091.259376,3,1,199,9014,66,146,0.066527,0.045969,0.119004,0.381976,4724684,7364608,6672
31,http://www.gabdesigns.co.uk,451091.549296,3,1,0,2419,7,3,0.007934,0.001225,0.000568,0.081341,1313144,3035136,2751
32,http://www.schmidt-umzuege-trier.de,451094.451327,2,1,81,1659,96,284,0.067144,0.083987,0.141235,0.747401,3427648,5791744,12019
33,https://www.mmkn.org,451095.137249,1,1,387,19216,334,638,0.116023,0.082984,0.390888,1.096113,15658576,23306240,4788
34,https://mindfulnesseveryday.org,451096.574043,2,1,147,17346,37,37,0.051174,0.02827,0.090862,0.438359,4917884,10248192,5420
