S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,277549.083615,5,5,118,15064,27,21,0.048597,0.04182,0.048925,0.289615,7146056,16224256,5630
2,http://www.csjfilter.com,277552.484778,3,1,32,3792,37,97,0.049209,0.022378,0.034809,0.273986,2402160,3956736,10972
3,https://www.rechtsanwalt-moellers.de,277552.76541,3,1,15,6161,20,23,0.013305,0.009285,0.032898,0.107489,2702404,4608000,7811
4,https://www.rayun.cl,277553.378298,2,4,198,6973,50,149,0.050105,0.070966,0.317932,0.717732,8766692,19423232,10811
5,https://hospitalismaelroldan.gov.co,277553.926332,34,19,347,22525,66,106,0.070929,0.052642,0.208801,0.707385,10285856,19685376,7753
6,https://heilpraktiker-silke-wagner.de,277554.969453,3,1,203,12157,44,45,0.075287,0.040739,0.148197,0.449889,6379360,11821056,4468
7,http://www.csjlfz.com,277555.838863,8,3,221,21726,27,22,0.057412,0.056282,0.155482,0.548092,6072384,9723904,4712
8,https://mondo.cl,277556.487284,4,1,83,5194,40,85,0.027975,0.038455,0.080887,0.306701,4392944,7102464,7282
9,https://hi-management.com,277557.155823,4,1,107,15175,160,174,0.09818,0.061966,0.181181,0.642924,8050612,12574720,5262
10,https://woolfplumbing.com.au,277558.153928,12,8,449,9178,48,131,0.071934,0.061124,0.524685,0.981315,13178620,19685376,4041
11,https://www.kampasa.fr,277559.097756,2,2,39,24214,20,14,0.088501,0.04543,0.089926,0.743052,7718436,18763776,3053
12,https://safen.sk,277560.755322,4,5,208,51104,45,56,0.105351,0.147701,0.228778,0.857973,9719444,20385792,5752
13,https://hairlounge-lueneburg.de,277561.096043,4,1,102,3133,18,45,0.010012,0.008063,0.027142,0.122776,2435076,3956736,3508
14,https://www.tiddleschildcare.co.uk,277562.038549,10,3,110,14556,43,28,0.061435,0.026197,0.046138,0.752518,3049268,8413184,3887
15,https://freedomfabmt.com,277563.169624,1,1,243,10910,56,90,0.132156,0.086913,0.512615,1.444213,4997140,10248192,8535
16,https://www.pflegeverbund-opf.de,277563.760702,4,1,411,20376,27,69,0.056163,0.052902,0.418576,0.820959,5121112,10248192,4841
17,https://www.yara.co.zm,277563.937179,4,5,439,210777,16,18,0.021386,0.036924,0.169878,1.063021,7916040,16826368,2983
18,https://www.tsv-simbach.de,277564.965611,2,2,173,17751,92,134,0.042548,0.048227,0.29006,0.695072,6313532,11296768,9233
19,https://www.teammania.de,277565.889026,4,3,94,6860,43,58,0.165278,0.020856,0.180047,0.909574,4369424,9986048,3949
20,https://www.autocaresalcaide.net,277566.038657,5,7,77,2176,46,89,0.088286,0.065081,0.263568,0.935876,3169188,9199616,6611
21,http://www.mobilitas-physiotherapie.de,277566.495484,3,1,27,9371,17,13,0.021936,0.015004,0.026637,0.172098,2847076,4620288,3764
22,http://shalomeuropa.de,277566.918756,4,3,237,10459,56,95,0.011367,0.013239,0.070812,0.22125,3836428,8413184,5629
23,https://www.tennisclub-weiler.de,277568.630971,1,1,129,5938,62,142,0.054824,0.059708,0.169395,0.704807,4439424,10510336,6025
24,https://www.gs-wallertheim.de,277569.683418,10,4,241,6834,33,65,0.03697,0.019154,0.115907,0.338574,9495556,13492224,4793
25,http://www.csk-guidelineari.com,277569.815828,9,4,300,5492,12,11,0.009861,0.00989,0.127714,0.275804,11687708,19423232,4803
26,https://www.woond.nl,277570.148286,5,1,52,4977,28,54,0.013081,0.018008,0.081444,0.201999,5677968,9461760,3552
27,http://www.cruiseoptionsonline.com,277570.258064,5,2,33,381,5,4,0.003294,0.001156,0.00071,0.024219,1275872,3035136,2895
28,https://www.via4spine.de,277570.908651,4,1,157,31805,31,42,0.037933,0.02996,0.037624,0.249785,4261492,8839168,3935
29,http://www.cheproeng.com,277571.798262,3,1,199,9024,68,167,0.065311,0.055805,0.121961,0.387977,5493408,9723904,5485
30,https://www.architektura-bielsko.pl,277572.508208,3,1,2,1191,6,1,0.003886,0.001552,0.00768,0.051701,1772512,3694592,3647
31,http://www.gabdesigns.co.uk,277572.727304,3,1,0,2419,7,3,0.006499,0.000849,0.000507,0.079355,1308268,3035136,2180
32,https://www.mmkn.org,277574.43748,1,1,282,19079,338,633,0.098759,0.060738,0.334447,0.839153,14207832,23830528,3541
33,https://mindfulnesseveryday.org,277578.583529,1,1,139,16373,37,40,0.03551,0.02357,0.060143,0.314062,5831180,12001280,5382
34,https://www.sv-naturstein.de,277579.357815,3,1,24,4989,52,52,0.010559,0.006785,0.017594,0.105819,2752116,4218880,5253
35,https://hogarprestige.com,277579.734798,18,9,211,2293,72,69,0.064938,0.046761,0.13963,0.566327,8237652,18575360,7621
36,https://wolksoftcr.com,277580.782536,9,13,458,25262,43,89,0.067673,0.103534,0.305521,1.229146,11212924,33054720,6017
37,https://www.getriebenotdienst.de,277581.809772,2,2,1173,61180,64,72,0.159414,0.102634,0.049827,0.847228,4248908,10047488,5858
38,https://www.la-choue.com,277582.66847,2,4,495,36255,70,143,0.147349,0.105787,0.178958,1.039782,8358168,17063936,6246
39,https://www.dinnede-manufaktur.eu,277583.877354,3,1,20,14774,26,29,0.040824,0.011177,0.028137,0.159557,3686296,5005312,4542
40,https://www.xn--colosseum-rheinbllen-jbc.de,277585.961807,11,5,296,28128,40,42,0.025176,0.015327,0.068772,0.233871,5988832,11296768,4524
41,https://www.bunert.de,277588.710243,19,15,640,40640,93,84,0.061921,0.047869,0.204477,0.779029,10762604,18898944,5621
42,http://www.lazyriveroutpost.com,277589.126451,3,1,39,6640,31,142,0.005037,0.013609,0.038604,0.167564,2852796,4481024,9275
43,https://dieschreyers.com,277590.304513,1,1,40,9792,39,46,0.025025,0.041826,0.060347,0.3522,2650944,6840320,6452
44,https://escapethis.place,277591.196252,13,8,14,7454,13,8,0.019576,0.010344,0.075265,0.219443,5486228,9723904,3376
45,http://koniksport.pl,277592.403792,4,4,199,14276,67,138,0.061719,0.068752,0.12474,0.731703,7563444,16539648,7257
46,https://www.murphys-tattoo.de,277594.331354,6,2,47,7306,23,34,0.020222,0.012513,0.070429,0.168283,5622548,9801728,4925
47,https://tyremanmc.com.au,277595.547657,6,9,180,26015,46,73,0.095126,0.043514,0.31466,0.71192,12900092,31035392,3518
48,https://www.ariesdogland.com,277596.53577,2,5,270,91826,28,27,0.052623,0.02087,0.111566,0.79813,14906576,35008512,3085
49,https://www.nppaa.net,277597.060771,3,1,21,1266,15,21,0.004822,0.006028,0.558009,0.616348,7238592,11390976,8175
50,https://www.thevintagehampercompany.uk,277597.885764,7,3,14,626,11,12,0.004821,0.001552,0.077129,0.134566,4732004,7626752,2143
51,https://www.leni-parkett.de,277599.32102,4,1,21,3964,15,15,0.023279,0.010296,0.01232,0.118867,1890920,3821568,3934
52,http://www.xn--mhrke-gastrotechnik-q6b.de,277600.777583,3,1,0,589,6,4,0.002505,0.000983,0,0.024079,1249104,3297280,3507
53,https://www.drbaby2th.com,277601.344009,7,3,204,16923,27,56,0.09103,0.030043,0.084774,0.387915,6477520,10772480,4204
54,http://www.gjcargo.com,277603.297059,4,1,67,10934,31,60,0.089357,0.046454,0.039062,0.283721,3910928,9199616,3403
55,https://www.boersenblatt.net,277606.201405,8,5,6921,410152,208,868,0.422321,0.248492,0.39836,2.97316,25063740,44142592,12319
56,https://dkcare247.co.uk,277611.156425,4,1,82,31675,31,61,0.053522,0.063377,0.068969,0.36793,6751272,8355840,12223
57,https://campinggranby.com,277613.384884,3,3,134,11129,107,178,0.066559,0.122516,0.199876,0.777385,7227148,12869632,11285
58,http://www.cskonferencia.sk,277614.866503,77,77,251,16778,44,50,0.089354,0.112041,0.07285,0.658403,4114680,10248192,7089
59,http://www.nazionale.net,277615.039689,6,5,30,1226,18,20,0.004938,0.002321,0.075008,0.130969,5005444,7102464,10003
60,https://www.logistaparcel.com,277618.824284,18,11,136,26077,26,40,0.022793,0.030061,0.097081,0.292733,7055092,11628544,6660
61,https://www.cslmha.com,277619.662753,12,19,356,23668,56,80,0.027038,0.032842,0.392739,0.79826,18921584,27029504,5443
62,https://www.henderson-engineers.co.uk,277621.554462,4,1,36,6236,15,18,0.02125,0.02111,0.023469,0.161512,3199276,6230016,1288
63,https://praxisgemeinschaft-am-ringelberg.de,277622.482335,2,1,61,19011,33,50,0.050916,0.043583,0.138403,0.407813,5404900,10772480,6623
64,https://www.cslmgmt.com,277622.671725,8,5,25,483,14,17,0.004692,0.001847,0.078914,0.14516,4962664,7626752,6505
65,http://www.cellcost.pk,277623.800897,3,1,117,9887,22,28,0.052554,0.012193,0.083056,0.252698,6684888,10248192,4163
66,http://www.consorziotst.it,277626.241751,69,112,839,51698,180,183,0.179,0.181214,0.628289,1.770901,48222188,61505536,20960
67,https://www.cskimkaratefortwayne.com,277627.304577,2,2,40,12631,24,17,0.039834,0.012592,0.043745,0.720013,5565784,16502784,2649
68,https://shop.ncreu.org,277629.159929,3,1,632,24140,12,25,0.023615,0.056159,0.237916,0.447817,12689668,22265856,4793
69,https://waldwichtel-koeln.de,277631.702413,12,5,136,6435,23,33,0.028716,0.026001,0.032303,0.203039,3357652,4751360,5674
70,http://www.klugpharma.com,277632.210715,3,1,65,8396,48,68,0.069073,0.030415,0.04027,0.249784,3303296,5791744,1719
71,https://www.dktcommunication.com,277633.493728,4,1,122,19212,54,86,0.064238,0.047234,0.135781,0.438179,8376560,12546048,10091
72,https://columbia-pi.com,277634.101359,5,11,328,9391,48,83,0.076718,0.114195,0.251049,0.853781,7837936,25714688,5354
73,https://ssquebec.com,277634.972018,1,1,217,7581,19,17,0.033475,0.022891,0.061332,0.38151,4441304,10510336,2494
74,https://www.twinbrookpool.org,277635.34813,5,3,45,8096,26,28,0.022515,0.028096,0.06536,0.298722,3429380,5005312,11302
75,https://www.hospitalcandidoportinari.com.br,277636.442677,2,2,80,3277,82,89,0.03497,0.022423,0.19696,0.39911,6584384,12083200,8226
76,https://www.moebel-mueller-juechen.de,277636.907644,6,2,65,2405,26,26,0.017223,0.013706,0.028357,0.132222,3126932,5267456,4097
77,https://www.terrier.de,277637.916299,4,1,273,20175,46,54,0.04323,0.04482,0.13619,0.3949,5346340,10510336,5685
78,https://www.horselssenteret.no,277638.782566,4,1,104,1196,11,10,0.028386,0.008331,0.159858,0.264293,5573048,10510336,2487
79,https://www.cskeryado.fr,277639.597936,18,8,102,10950,88,92,0.082665,0.060467,0.080291,0.52203,4553776,9310208,4510
80,http://nestaenergies.com,277640.234446,3,1,58,12288,22,18,0.072465,0.023384,0.040191,0.244612,4021180,6053888,1896
81,https://www.startklahr.biz,277641.117562,8,9,666,11468,85,94,0.091735,0.060527,0.095173,0.566678,4081776,9199616,4547
82,https://www.ebmag.com,277642.608958,6,10,275,26445,77,89,0.097611,0.052758,0.445354,1.094514,24363408,45981696,7735
83,http://www.beginningdreamsdaycare.com,277643.476428,7,5,139,5403,23,32,0.013262,0.037645,0.100383,0.234416,6215948,10153984,2758
84,https://amazonrainforestconservancy.com,277644.076578,6,7,150,10301,48,53,0.041306,0.032003,0.106715,0.321095,7183420,11259904,7121
85,http://www.studioyogasamgha.it,277644.710295,3,1,3,7893,15,12,0.029939,0.010251,0.005545,0.156507,1373392,4083712,5246
86,https://www.logopediehellingman.nl,277648.444342,6,5,90,11715,41,50,0.052244,0.020166,0.040321,0.254771,3618308,4743168,4657
87,https://www.casagarage.it,277649.764892,3,5,84,10562,34,65,0.046776,0.048771,0.259719,0.719912,7864024,18636800,10505
88,https://www.arhamdisplays.com,277650.243127,4,3,192,22990,67,105,0.062455,0.045303,0.13833,0.52603,6947944,11771904,3691
89,https://penedesindustrial.com,277652.086907,2,6,72,6808,201,268,0.091433,0.065946,0.367894,0.871325,4382052,10510336,7225
90,https://www.reseauvita.fr,277652.74034,27,28,609,18476,84,139,0.112569,0.097221,0.321064,1.064874,20047728,38526976,10971
91,https://cheekyplum.com,277655.333628,13,13,5912,90761,42,78,0.079127,0.31519,0.835617,2.049806,27730492,45015040,7851
92,https://virtuosolaw.com,277656.755685,11,12,1039,41367,65,168,0.300524,0.330389,0.252792,1.646504,9558096,17850368,3451
93,https://www.dwaynelanechryslerjeepdodge.com,277657.531437,13,33,815,51137,151,209,0.167803,0.058539,5.251603,8.063087,66410012,77672448,14085
94,https://www.drrettner.com,277658.346429,5,2,236,27372,187,386,0.074779,0.059981,0.224732,0.555374,7627600,11272192,4546
95,https://www.forever-decorationsdemariage.fr,277660.0234,3,5,184,33055,87,128,0.20718,0.106037,0.279533,1.285519,13162112,21565440,6406
96,https://cosytoesphotography.co.uk,277661.720804,5,4,157,34303,59,230,0.156094,0.092439,0.403892,1.072269,14255700,22568960,15692
97,https://www.zimmerei-meister-schmidt.de,277662.737149,3,1,28,2981,21,10,0.007375,0.00308,0.007936,0.10194,2153108,3956736,5484
98,https://nssrc.org,277663.518364,7,2,52,9561,18,21,0.076591,0.018402,0.113494,0.33007,7395640,11546624,2851
99,https://olavarriaga.com,277664.29569,7,4,74,10957,30,31,0.022852,0.037529,0.113729,0.336224,4907740,7626752,10144
100,https://www.shotrockshop.com,277664.627906,4,3,0,2638,10,8,0.022249,0.008747,0.001352,0.083104,1366836,3035136,5099
101,http://www.doraplus.com.tr,277664.992492,6,5,64,6036,18,30,0.016208,0.012785,0.077131,0.215678,6414624,10772480,6644
102,https://browndogindustries.com,277665.313763,4,1,34,23627,5,5,0.012787,0.005338,0.026108,0.134379,3157144,6053888,6585
103,http://www.cskatalogy.cz,277666.029006,3,1,29,1729,15,18,0.004088,0.003339,0.015436,0.066908,2768316,5529600,2237
104,https://handtruxtoys.com,277666.423639,3,1,56,6197,8,11,0.021739,0.013992,0.025514,0.179998,2708124,5394432,1452
105,http://westonbayyc.co.uk,277666.772887,4,2,4,442,8,9,0.001708,0.001396,0.004567,0.042498,2551208,3956736,1964
