Timestamp,Total Size (MB),Used Size (MB),Free Size (MB),Used Percentage (%)
2024-10-03 13:58:22,1536.0,17.99,1518.01,1.17
2024-10-03 13:58:22,1536.0,17.99,1518.01,1.17
2024-10-03 13:58:23,1536.0,17.99,1518.01,1.17
2024-10-03 13:58:23,1536.0,17.99,1518.01,1.17
2024-10-03 13:58:24,1536.0,17.99,1518.01,1.17
2024-10-03 13:58:24,1536.0,17.99,1518.01,1.17
2024-10-03 13:58:25,1536.0,17.99,1518.01,1.17
2024-10-03 13:58:25,1536.0,17.99,1518.01,1.17
2024-10-03 13:58:26,1536.0,17.99,1518.01,1.17
2024-10-03 13:58:26,1536.0,17.99,1518.01,1.17
2024-10-03 13:58:27,1536.0,17.99,1518.01,1.17
2024-10-03 13:58:27,1536.0,17.99,1518.01,1.17
2024-10-03 13:58:28,1536.0,17.99,1518.01,1.17
2024-10-03 13:58:28,1536.0,17.99,1518.01,1.17
2024-10-03 13:58:29,1536.0,17.99,1518.01,1.17
2024-10-03 13:58:29,1536.0,23.56,1512.44,1.53
2024-10-03 13:58:30,1536.0,23.56,1512.44,1.53
2024-10-03 13:58:30,1536.0,30.05,1505.95,1.96
2024-10-03 13:58:31,1536.0,30.05,1505.95,1.96
2024-10-03 13:58:31,1536.0,36.55,1499.45,2.38
2024-10-03 13:58:32,1536.0,36.55,1499.45,2.38
2024-10-03 13:58:32,1536.0,43.04,1492.96,2.8
2024-10-03 13:58:33,1536.0,43.04,1492.96,2.8
2024-10-03 13:58:33,1536.0,49.53,1486.47,3.22
2024-10-03 13:58:34,1536.0,51.66,1484.34,3.36
2024-10-03 13:58:34,1536.0,61.16,1474.84,3.98
2024-10-03 13:58:35,1536.0,61.04,1474.96,3.97
2024-10-03 13:58:35,1536.0,180.87,1355.13,11.78
2024-10-03 13:58:36,1536.0,461.83,1074.17,30.07
2024-10-03 13:58:36,1536.0,463.83,1072.17,30.2
2024-10-03 13:58:37,1536.0,463.83,1072.17,30.2
2024-10-03 13:58:37,1536.0,105.93,1430.07,6.9
