Timestamp,Total Size (MB),Used Size (MB),Free Size (MB),Used Percentage (%)
2024-10-03 13:16:41,700.0,427.18,272.82,61.03
2024-10-03 13:16:42,700.0,433.02,266.98,61.86
2024-10-03 13:16:42,700.0,441.04,258.96,63.01
2024-10-03 13:16:43,700.0,510.22,189.78,72.89
2024-10-03 13:16:43,700.0,426.56,273.44,60.94
2024-10-03 13:16:44,700.0,564.1,135.9,80.59
2024-10-03 13:16:44,700.0,582.64,117.36,83.23
2024-10-03 13:16:45,700.0,545.63,154.37,77.95
2024-10-03 13:16:45,700.0,575.65,124.35,82.24
2024-10-03 13:16:46,700.0,345.62,354.38,49.37
2024-10-03 13:16:46,700.0,360.62,339.38,51.52
2024-10-03 13:16:47,700.0,400.14,299.86,57.16
2024-10-03 13:16:47,700.0,351.05,348.95,50.15
2024-10-03 13:16:48,700.0,238.55,461.45,34.08
2024-10-03 13:16:48,700.0,191.14,508.86,27.31
2024-10-03 13:16:49,700.0,260.05,439.95,37.15
2024-10-03 13:16:49,700.0,302.41,397.59,43.2
2024-10-03 13:16:50,700.0,249.59,450.41,35.66
2024-10-03 13:16:50,700.0,360.98,339.02,51.57
2024-10-03 13:16:51,700.0,325.32,374.68,46.47
2024-10-03 13:16:51,700.0,322.9,377.1,46.13
2024-10-03 13:16:52,700.0,276.8,423.2,39.54
2024-10-03 13:16:52,700.0,399.57,300.43,57.08
2024-10-03 13:16:53,700.0,511.77,188.23,73.11
2024-10-03 13:16:53,700.0,459.76,240.24,65.68
2024-10-03 13:16:54,700.0,344.54,355.46,49.22
2024-10-03 13:16:54,700.0,241.2,458.8,34.46
2024-10-03 13:16:55,700.0,263.98,436.02,37.71
2024-10-03 13:16:55,700.0,264.64,435.36,37.81
2024-10-03 13:16:56,700.0,419.11,280.89,59.87
2024-10-03 13:16:56,700.0,233.32,466.68,33.33
2024-10-03 13:16:57,700.0,265.33,434.67,37.9
2024-10-03 13:16:57,700.0,319.84,380.16,45.69
2024-10-03 13:16:58,700.0,481.41,218.59,68.77
2024-10-03 13:16:58,700.0,602.23,97.77,86.03
2024-10-03 13:16:59,700.0,514.58,185.42,73.51
2024-10-03 13:16:59,700.0,537.81,162.19,76.83
2024-10-03 13:17:00,700.0,537.23,162.77,76.75
2024-10-03 13:17:00,700.0,546.55,153.45,78.08
2024-10-03 13:17:01,700.0,612.18,87.82,87.45
2024-10-03 13:17:01,700.0,623.44,76.56,89.06
2024-10-03 13:17:02,700.0,487.04,212.96,69.58
2024-10-03 13:17:02,700.0,579.8,120.2,82.83
2024-10-03 13:17:03,700.0,327.44,372.56,46.78
2024-10-03 13:17:03,700.0,344.47,355.53,49.21
2024-10-03 13:17:04,700.0,276.17,423.83,39.45
2024-10-03 13:17:04,700.0,335.34,364.66,47.91
2024-10-03 13:17:05,700.0,284.12,415.88,40.59
2024-10-03 13:17:05,700.0,349.9,350.1,49.99
2024-10-03 13:17:06,700.0,418.35,281.65,59.76
2024-10-03 13:17:06,700.0,608.34,91.66,86.91
