S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,288706.64207,5,5,118,15064,21,21,0.048438,0.038099,0.045899,0.268903,7145936,15699968,4628
2,http://www.altreetz-online.de,288706.887442,4,2,35,2627,6,5,0.006877,0.002498,0.000247,0.050632,1842268,3297280,4451
3,https://www.rechtsanwalt-moellers.de,288707.457715,3,1,15,6161,20,23,0.01106,0.006575,0.023505,0.091834,2679640,4608000,3987
4,https://www.rayun.cl,288710.222509,2,4,221,13018,58,202,0.034871,0.068119,0.273468,0.656676,11461800,28225536,9424
5,http://www.csjfilter.com,288710.925199,3,1,32,3792,40,99,0.040368,0.023533,0.032505,0.280798,2440028,3956736,10485
6,https://heilpraktiker-silke-wagner.de,288712.01046,3,1,203,12157,39,45,0.051044,0.027761,0.097708,0.342435,6387580,11296768,3492
7,https://hi-management.com,288712.644359,4,1,107,15156,153,164,0.072971,0.064001,0.107306,0.503178,8000408,11788288,3665
8,http://www.csjlfz.com,288713.715318,4,4,302,9522,33,55,0.057893,0.058434,0.151619,0.592203,7813480,15491072,3985
9,https://mondo.cl,288714.317895,4,1,45,5194,34,82,0.017936,0.034089,0.071535,0.258644,4238520,6840320,5928
10,https://woolfplumbing.com.au,288715.66175,12,8,443,8810,48,138,0.059123,0.068321,0.352711,0.957966,13228848,19947520,4365
11,https://freedomfabmt.com,288717.020579,1,1,237,10501,57,109,0.115065,0.110183,0.19962,1.225503,4325144,9461760,6917
12,https://hospitalismaelroldan.gov.co,288717.371785,34,19,356,22605,67,104,0.088135,0.061046,0.26312,0.95248,14301172,20873216,11409
13,https://safen.sk,288718.269816,6,5,203,33490,41,54,0.131989,0.155293,0.240174,1.045384,8644016,18194432,4630
14,https://www.kampasa.fr,288718.926179,2,3,359,34528,21,25,0.057104,0.029172,0.240504,1.22978,15986244,35696640,3609
15,https://www.tiddleschildcare.co.uk,288719.640022,10,3,110,14643,46,38,0.066063,0.024808,0.058496,0.494234,3423416,8445952,3748
16,https://www.autocaresalcaide.net,288719.79814,14,9,253,24502,38,77,0.065637,0.062449,0.244721,0.756787,4364412,9461760,5569
17,https://hairlounge-lueneburg.de,288720.066385,4,1,102,3133,17,43,0.014125,0.007969,0.026747,0.158987,2226676,3956736,4412
18,https://www.pflegeverbund-opf.de,288720.650601,4,1,412,20369,27,67,0.037335,0.038089,0.091389,0.431346,5120764,9986048,5050
19,https://www.teammania.de,288721.552178,8,3,102,10490,38,57,0.081003,0.012592,0.139702,0.45658,5223456,10510336,1996
20,https://www.yara.co.zm,288721.758572,4,5,405,186020,19,21,0.022137,0.035223,0.162238,0.847113,5341660,14184448,3287
21,http://www.mobilitas-physiotherapie.de,288722.303705,3,1,27,9370,15,12,0.019807,0.013044,0.031216,0.163847,2822584,4882432,3487
22,http://shalomeuropa.de,288723.900262,4,3,233,10459,51,75,0.021413,0.018822,0.071499,0.254949,3402864,8413184,5979
23,https://www.tennisclub-weiler.de,288724.686722,1,1,129,5938,53,131,0.052707,0.063063,0.15965,0.705691,4473752,10248192,5210
24,http://www.csk-guidelineari.com,288724.888729,9,4,300,5492,11,10,0.010376,0.013166,0.150201,0.314709,11687780,19685376,4540
25,https://www.gs-wallertheim.de,288725.983436,10,4,241,6834,27,85,0.040246,0.018929,0.131971,0.371879,6857792,11214848,4868
26,https://www.woond.nl,288726.378337,5,1,52,4977,26,49,0.012231,0.017541,0.077483,0.19978,5746948,9723904,4130
