S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,449838.791306,5,5,118,15064,24,20,0.066532,0.044445,0.065188,0.335939,7145352,16486400,4267
2,http://www.altreetz-online.de,449839.380531,4,2,35,2627,6,5,0.008338,0.003887,0.000273,0.052377,1842268,3297280,4453
3,https://www.rechtsanwalt-moellers.de,449841.022148,3,1,15,6161,20,23,0.009336,0.005237,0.020331,0.092617,2998408,4083712,4966
4,https://www.rayun.cl,449842.507325,3,4,221,13022,58,203,0.047717,0.089423,0.279307,0.691686,15409956,28749824,9207
5,http://www.csjlfz.com,449843.221798,4,3,177,9311,22,26,0.059244,0.056763,0.113076,0.435617,4901920,10248192,3087
6,https://heilpraktiker-silke-wagner.de,449844.223773,3,1,203,12157,40,44,0.067587,0.030988,0.122597,0.411841,6350728,11821056,3627
7,https://hi-management.com,449844.909218,4,1,107,15121,144,153,0.078737,0.068986,0.139904,0.517949,7964380,12050432,3939
8,https://mondo.cl,449845.42446,4,1,65,5194,33,68,0.018431,0.02537,0.056589,0.208908,4344988,6840320,6311
9,https://woolfplumbing.com.au,449846.57192,7,4,384,38390,35,111,0.055696,0.054947,0.149884,0.462755,5910116,10772480,4641
10,https://hospitalismaelroldan.gov.co,449846.917895,34,19,355,2301,67,107,0.103998,0.048647,0.227502,0.723343,11780688,20209664,8814
11,https://www.kampasa.fr,449847.489896,3,3,370,4615,23,23,0.04958,0.027594,0.155239,0.794758,13660856,32006144,2276
12,https://hairlounge-lueneburg.de,449849.975024,4,1,102,3133,15,42,0.010035,0.008009,0.02617,0.130336,2263596,5005312,2680
13,https://freedomfabmt.com,449850.510577,4,1,260,18133,52,80,0.062157,1.233087,0.138929,2.818465,8226744,12218368,7738
14,https://www.pflegeverbund-opf.de,449850.555614,4,1,412,20371,27,67,0.047291,0.046705,0.101595,0.426027,5120088,10248192,4102
15,https://www.tiddleschildcare.co.uk,449851.265061,10,3,110,14642,41,37,0.068104,0.022872,0.05491,0.454571,3461236,8708096,3081
16,https://www.tsv-simbach.de,449852.332275,2,2,163,17924,78,116,0.048427,0.048376,0.173604,0.531362,7246072,13139968,8558
17,https://safen.sk,449853.249951,4,4,208,45224,43,51,0.109746,0.134055,0.157997,0.809245,8887776,19861504,6686
18,https://www.autocaresalcaide.net,449853.437816,5,7,73,1952,46,82,0.062162,0.064359,0.16447,0.756294,2955208,8675328,5010
19,https://www.teammania.de,449854.449741,4,3,94,6860,50,56,0.08572,0.016965,0.171859,0.571578,4447012,9986048,3673
20,https://www.yara.co.zm,449854.653694,4,5,439,251303,18,21,0.020988,0.035494,0.178267,0.784484,5346328,13922304,4252
21,http://www.mobilitas-physiotherapie.de,449855.099203,3,1,27,9366,17,11,0.027835,0.017862,0.036721,0.200356,2845716,4620288,3741
22,https://www.tennisclub-weiler.de,449856.684236,1,1,129,5939,59,151,0.072795,0.079005,0.187548,0.809703,4716572,10510336,5469
23,http://shalomeuropa.de,449857.198752,4,3,237,10459,55,97,0.012153,0.016069,0.082925,0.256465,3658640,8937472,6286
24,https://www.gs-wallertheim.de,449858.805982,10,4,241,6834,27,66,0.038408,0.018811,0.130954,0.361646,9015356,17686528,5336
25,https://www.woond.nl,449859.428473,5,1,52,4972,26,48,0.012331,0.018275,0.092482,0.201005,5744560,9723904,4365
26,https://www.via4spine.de,449859.920509,4,1,157,31805,27,38,0.044124,0.037262,0.043626,0.295073,4268464,8839168,4257
27,http://www.csk-guidelineari.com,449860.758341,9,4,300,5492,12,11,0.015433,0.011215,0.150005,0.327954,11746324,19161088,7164
28,http://www.cruiseoptionsonline.com,449860.877473,5,2,33,381,5,4,0.003946,0.001382,0.00065,0.030593,1275872,3297280,3926
29,https://www.architektura-bielsko.pl,449861.05792,3,1,2,1191,7,1,0.00401,0.002458,0.009022,0.052323,1772512,3694592,3535
30,http://www.grundschule-zum-obersten-holz.de,449862.683757,3,1,14,5548,21,24,0.00878,0.006215,0.020885,0.087917,2768020,4743168,3590
31,https://mindfulnesseveryday.org,449866.9509,1,1,147,17550,33,37,0.045243,0.030203,0.091097,0.393014,6034632,12009472,4751
