S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,437306.037763,5,5,118,15064,24,25,0.070247,0.067666,0.090621,0.470435,7146472,16748544,5067
2,https://www.rechtsanwalt-moellers.de,437307.007684,3,1,15,6161,25,23,0.019888,0.008217,0.041549,0.149091,2832752,4743168,4828
3,https://www.rayun.cl,437308.296493,2,4,221,13018,58,197,0.051135,0.085238,0.406987,0.936404,15831932,28225536,8646
4,https://heilpraktiker-silke-wagner.de,437310.309906,3,1,195,12155,42,44,0.119097,0.045252,0.197968,0.596668,6387076,11821056,4516
5,http://www.csjlfz.com,437311.267497,4,3,201,9311,21,30,0.086435,0.062513,0.171945,0.65695,4709396,14442496,3792
6,http://www.csjfilter.com,437312.578447,3,1,32,3792,38,105,0.064576,0.0303,0.043282,0.437675,2530852,3956736,12485
7,https://woolfplumbing.com.au,437314.268827,2,3,370,8526,40,124,0.093553,0.096601,0.431264,0.971363,7891060,11821056,3432
8,https://mondo.cl,437315.444076,4,1,65,5194,30,76,0.02626,0.039922,0.095224,0.363904,4392868,7102464,7194
9,https://hi-management.com,437316.973672,4,1,104,15152,152,162,0.119564,0.100247,0.222244,0.886992,6337048,11821056,5085
10,https://freedomfabmt.com,437319.111868,1,1,239,10971,53,116,0.131455,0.117566,0.221083,1.621183,4699536,7364608,8076
11,https://hospitalismaelroldan.gov.co,437319.614031,18,19,246,15528,69,101,0.238427,0.104914,0.402598,1.484932,10736496,21221376,12989
12,https://www.tsv-simbach.de,437321.071764,2,2,167,17915,83,138,0.068583,0.08114,0.352124,0.997914,7522528,13291520,8685
13,https://www.kampasa.fr,437321.859459,3,4,374,34566,26,27,0.075189,0.052088,0.87736,2.101991,24214992,37388288,4299
14,https://www.autocaresalcaide.net,437322.111906,14,9,257,24792,43,85,0.118019,0.117385,0.324978,1.286356,4515960,9199616,4668
15,https://www.pflegeverbund-opf.de,437323.148978,4,1,412,20370,27,58,0.091306,0.089337,0.259051,0.97037,5190364,10510336,4691
16,https://www.tiddleschildcare.co.uk,437324.153395,10,3,110,14922,102,126,0.083894,0.060769,0.14378,0.791037,4910384,8970240,3407
17,https://safen.sk,437325.465363,4,4,212,45153,43,57,0.288589,0.31722,0.419163,1.789323,9159468,19337216,8662
