S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,441163.764202,5,5,118,15064,22,22,0.062239,0.046583,0.054352,0.321953,7146104,16486400,3381
2,http://www.altreetz-online.de,441164.782911,4,2,35,2627,6,5,0.009786,0.002778,0.000152,0.054192,1842268,3297280,3990
3,https://www.rechtsanwalt-moellers.de,441165.112034,3,1,15,6161,20,23,0.010745,0.005267,0.020929,0.086215,2703404,5656576,3312
4,https://mondo.cl,441167.999232,4,1,45,5194,18,59,0.013673,0.025979,0.060592,0.204868,4255452,9199616,3582
5,https://woolfplumbing.com.au,441169.105061,2,3,368,8628,35,115,0.064572,0.06283,0.218136,0.587256,7456468,18374656,1928
6,https://heilpraktiker-silke-wagner.de,441170.226277,3,1,198,12155,42,44,0.081732,0.041414,0.132128,0.448295,6457472,11296768,3757
7,http://www.csjlfz.com,441170.892818,4,3,296,9497,29,45,0.054082,0.059895,0.147128,0.566144,7651608,15228928,3410
8,https://www.rayun.cl,441171.438967,2,4,223,12950,61,335,0.049966,0.092052,0.350232,0.901435,11197976,19947520,10520
9,https://hi-management.com,441172.25083,4,1,107,15165,156,167,0.096225,0.070746,0.189968,0.660753,8066616,11788288,4256
10,https://hospitalismaelroldan.gov.co,441172.705632,34,19,356,18918,64,101,0.098985,0.071023,0.26289,0.802228,12824248,20574208,7624
11,https://freedomfabmt.com,441175.03855,1,1,231,10668,56,90,0.075644,1.22549,0.198238,1.88514,4092560,14180352,7531
12,https://www.tsv-simbach.de,441176.105923,2,2,163,17689,72,78,0.053401,0.05077,0.196517,0.571981,6422420,15753216,6412
13,https://safen.sk,441177.030982,4,4,211,45137,42,51,0.123797,0.159093,0.208106,0.964183,8585588,19861504,5788
14,https://hairlounge-lueneburg.de,441177.444109,4,1,102,3133,15,42,0.02027,0.009511,0.030116,0.177487,2466080,3956736,3654
15,https://www.tiddleschildcare.co.uk,441178.147814,10,3,110,14655,39,38,0.061882,0.026363,0.069772,0.468956,3528976,8445952,2504
16,https://www.pflegeverbund-opf.de,441178.778284,4,1,411,20368,25,64,0.040345,0.045823,0.102681,0.446934,5130008,10248192,4563
17,https://www.kampasa.fr,441179.448101,1,2,346,1715,24,27,0.044047,0.027228,0.239025,1.069052,12926316,32792576,5775
18,https://www.autocaresalcaide.net,441179.628728,14,9,257,24841,45,89,0.064582,0.066467,0.209879,0.940504,4529028,9461760,6033
19,https://www.teammania.de,441180.585332,8,3,102,10490,41,56,0.117108,0.020268,0.187211,0.607677,5122744,10510336,1941
20,https://www.yara.co.zm,441180.775047,4,5,478,265278,17,18,0.020316,0.035304,0.175383,0.859012,8113336,16584704,3059
21,http://www.mobilitas-physiotherapie.de,441181.189866,3,1,27,9371,16,11,0.028892,0.019604,0.038313,0.220005,2845608,4358144,3068
22,https://www.gs-wallertheim.de,441184.370999,10,4,241,6705,28,71,0.0363,0.018283,0.1408,0.358579,6824952,11476992,3624
23,http://shalomeuropa.de,441184.794596,4,3,233,10426,51,75,0.017101,0.01535,0.072096,0.258847,3289096,5005312,6219
24,https://www.woond.nl,441185.142518,5,1,65,5007,25,49,0.013468,0.02276,0.089143,0.226529,5741184,9986048,3088
25,https://www.tennisclub-weiler.de,441185.575426,1,1,129,5939,59,162,0.080244,0.076701,0.191212,0.796218,4701620,10510336,6151
26,http://www.csk-guidelineari.com,441185.748742,9,4,300,5492,10,10,0.015937,0.011927,0.1922,0.374405,11683872,18898944,5061
27,http://www.schmidt-umzuege-trier.de,441186.321856,3,1,113,20487,78,227,0.054505,0.064497,0.123168,0.561648,4771716,10248192,5894
28,https://www.via4spine.de,441187.169414,4,1,157,31805,25,37,0.047757,0.043883,0.049027,0.298197,4268108,8839168,3501
29,http://www.cruiseoptionsonline.com,441188.32079,5,2,33,381,5,4,0.004291,0.000992,0.000874,0.03228,1275872,3035136,3714
30,http://www.grundschule-zum-obersten-holz.de,441189.352717,3,1,14,5553,21,24,0.012701,0.006628,0.03144,0.102722,2762708,4743168,3995
31,https://www.mmkn.org,441189.945624,1,1,282,19079,333,620,0.109895,0.055952,0.341178,0.859231,14171056,24092672,3351
