Timestamp,Total Size (MB),Used Size (MB),Free Size (MB),Used Percentage (%)
2024-10-05 07:37:15,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:15,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:16,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:16,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:17,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:17,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:18,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:18,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:19,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:19,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:20,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:20,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:21,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:21,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:22,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:22,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:23,2867.2,15.88,2851.32,0.55
2024-10-05 07:37:23,2867.2,21.57,2845.63,0.75
2024-10-05 07:37:24,2867.2,21.57,2845.63,0.75
2024-10-05 07:37:24,2867.2,27.94,2839.26,0.97
2024-10-05 07:37:25,2867.2,27.94,2839.26,0.97
2024-10-05 07:37:25,2867.2,34.31,2832.89,1.2
2024-10-05 07:37:26,2867.2,34.31,2832.89,1.2
2024-10-05 07:37:26,2867.2,40.16,2827.04,1.4
2024-10-05 07:37:27,2867.2,40.41,2826.79,1.41
2024-10-05 07:37:27,2867.2,67.77,2799.43,2.36
2024-10-05 07:37:28,2867.2,77.41,2789.79,2.7
2024-10-05 07:37:28,2867.2,93.99,2773.21,3.28
2024-10-05 07:37:29,2867.2,177.29,2689.91,6.18
2024-10-05 07:37:29,2867.2,150.78,2716.42,5.26
2024-10-05 07:37:30,2867.2,117.81,2749.39,4.11
2024-10-05 07:37:30,2867.2,130.21,2737.0,4.54
2024-10-05 07:37:31,2867.2,86.38,2780.83,3.01
2024-10-05 07:37:31,2867.2,93.02,2774.18,3.24
2024-10-05 07:37:32,2867.2,114.87,2752.34,4.01
2024-10-05 07:37:32,2867.2,234.87,2632.33,8.19
2024-10-05 07:37:33,2867.2,323.17,2544.04,11.27
2024-10-05 07:37:33,2867.2,409.95,2457.26,14.3
2024-10-05 07:37:34,2867.2,356.16,2511.05,12.42
2024-10-05 07:37:34,2867.2,442.0,2425.21,15.42
2024-10-05 07:37:35,2867.2,323.21,2543.99,11.27
2024-10-05 07:37:35,2867.2,401.29,2465.91,14.0
2024-10-05 07:37:36,2867.2,353.53,2513.68,12.33
2024-10-05 07:37:36,2867.2,283.29,2583.91,9.88
2024-10-05 07:37:37,2867.2,315.09,2552.12,10.99
2024-10-05 07:37:37,2867.2,351.66,2515.54,12.27
2024-10-05 07:37:38,2867.2,312.38,2554.82,10.89
2024-10-05 07:37:38,2867.2,257.68,2609.52,8.99
2024-10-05 07:37:39,2867.2,296.77,2570.43,10.35
2024-10-05 07:37:39,2867.2,318.62,2548.58,11.11
2024-10-05 07:37:40,2867.2,415.17,2452.03,14.48
2024-10-05 07:37:40,2867.2,376.27,2490.94,13.12
2024-10-05 07:37:41,2867.2,496.73,2370.47,17.32
2024-10-05 07:37:41,2867.2,587.7,2279.51,20.5
2024-10-05 07:37:42,2867.2,411.19,2456.01,14.34
2024-10-05 07:37:42,2867.2,503.5,2363.71,17.56
2024-10-05 07:37:43,2867.2,479.42,2387.78,16.72
2024-10-05 07:37:43,2867.2,506.02,2361.18,17.65
2024-10-05 07:37:44,2867.2,351.91,2515.3,12.27
2024-10-05 07:37:44,2867.2,357.02,2510.18,12.45
