id,url,title,RTime,PTime(sec),TTime(sec)
4,http://www.altreetz-online.de,,0,3.066,3.128079
7,https://www.midiforkids.com,,0,0.184,0.241472
3,http://www.ecan.be,Collège Abbé Noël – Un tremplin pour la vie,4260,5.515,5.59474
5,https://www.rechtsanwalt-moellers.de,Rechtsanwalt Möllers - Startseite,4384,4.675,4.743212
9,https://heilpraktiker-silke-wagner.de,Aktuelles,3457,5.122,5.187873
1,http://www.csjfilter.com,"Yingkou Chuangshiji Filter Materials Co., Ltd",11284,12.585,12.663425
10,http://www.csjlfz.com,"Dress, Jacket, Long Sleeve | China Manufacturer Changshu Jieliang Knitting Co., Ltd.",3724,6.058,6.719108
8,https://mondo.cl,Officio Mondo,6434,8.192,8.266337
15,https://avediscorp.com,,3886,3.941,4.041391
11,https://hi-management.com,Home - H•I Management,4930,7.808,7.889393
2,https://www.rayun.cl,Rayün Montessori – Sala Cuna y Jardín Infantil – Sala Cuna y Jardín Infantil,11567,15.524,15.59602
13,https://woolfplumbing.com.au,Woolf Plumbing & Gas: The Plumbing & Gas Expert in Perth,4857,9.947,10.022478
6,https://hospitalismaelroldan.gov.co,Hospital Ismael Roldán Valencia |,9492,14.287,14.35888
12,https://freedomfabmt.com,"Freedom Fabrication | Excavation, Landscaping, Concrete, Snow Removal Services | Montana",7356,13.172,13.246258
14,https://www.tsv-simbach.de,TSV Simbach a. Inn |,7411,13.501,13.578427
17,https://www.kampasa.fr,Marie Durand,2715,9.576,9.664842
18,https://www.autocaresalcaide.net,Autocares Alcaide,4440,9.095,9.176964
16,https://safen.sk,SAFEN | Komplexné služby BOZP a OPP,6067,11.943,12.077674
21,https://www.tiddleschildcare.co.uk,Tiddles Childcare – An outstanding childcare provider,2738,8.846,9.037123
20,https://hairlounge-lueneburg.de,Ihr Friseursalon in Lüneburg | Hairlounge by Sandra Ritter,5556,10.365,10.500177
19,https://www.pflegeverbund-opf.de,Ambulante Pflege | Waidhaus | Ambulanter Pflegeverbund,5545,11.254,11.398999
23,https://www.teammania.de,Team Mania - SPIELBASIERTES LERNEN & CORPORATE ESCAPE GAMES,3104,8.781,8.883018
22,https://www.yara.co.zm,Yara Zambia,3705,9.621,9.715638
25,http://www.mobilitas-physiotherapie.de,Physiotherapie & Osteopathie für Hunde & Katzen,3022,6.32,6.415358
24,http://shalomeuropa.de,Startseite,5502,8.309,8.412714
30,http://www.elevake.eu,,4151,4.182,4.299885
26,https://www.tennisclub-weiler.de,Tennisclub Weiler – Tennis spielen in Weiler im Allgäu,5401,6.715,6.904958
28,https://www.gs-wallertheim.de,GS Wallertheim,5424,7.028,7.116691
34,http://www.cruiseoptionsonline.com,Index of /,2752,2.985,3.063548
29,http://www.csk-guidelineari.com,Plesk Obsidian 18.0.63,6117,6.518,6.596092
32,https://www.woond.nl,WOOND Ulft - Expert in bekleden of renoveren van uw trap of vloer,3511,4.392,4.466452
33,https://www.via4spine.de,Wirbelsäulenchirurgie - Via 4 Spine Wirbelsäulenchirurgie,3277,4.745,4.820016
41,http://www.csjmpw.com,,0,0.505,0.600217
37,http://www.grundschule-zum-obersten-holz.de,,0,3.247,3.392158
35,https://www.architektura-bielsko.pl,"Biuro architektoniczne w Bielsku : Tomasz Köhler : architekt bielsko, architekt bielsko-biała, architekt śląsk",3533,3.962,4.045749
45,http://www.terayne.com,,0,0.578,0.696837
31,http://www.cheproeng.com,Check Process Engineering,6315,7.452,7.541857
38,http://www.gabdesigns.co.uk,"GaB Designs,Printed Circuit Board design (PCB) - Home Page",1949,2.836,2.921471
39,https://www.mmkn.org,MMKN,4010,5.139,5.369923
46,https://www.sv-naturstein.de,Startseite | SV Naturstein - Inhaber Stefan Vepschek,3505,4.338,4.479248
42,https://mindfulnesseveryday.org,Mindfulness Everyday | Mindfulness Everyday,4614,6.813,6.956065
44,https://www.getriebenotdienst.de,Getriebereparatur | Ihr Fachmann für Getriebe,4099,7.825,7.960298
50,http://www.praxis-kirchmeyer.de,,0,3.066,3.165783
48,https://www.dinnede-manufaktur.eu,DINNEDE MANUFAKTUR - FELDBÄCKEREY | FLEISCHBRÄTEREY | WURSTBRÄTEREY,3979,8.05,8.14527
40,https://hogarprestige.com,"Hogar Prestige ""Vive Tus Sueños""",6540,11.222,11.314528
47,https://www.la-choue.com,Accueil - Brasserie de Vauclair - La Choue,5685,10.171,10.304024
43,https://wolksoftcr.com,Wolksoft | Soluciones Tecnológicas a la Medida,8545,12.917,13.057609
51,https://www.xn--colosseum-rheinbllen-jbc.de,Hotel Ristorante Colosseum - Startseite,4702,6.801,6.916556
52,https://www.bunert.de,bunert Onlineshop,5408,7.065,7.161323
55,https://escapethis.place,Escape This Place - Escape Game Rooms in KC,5136,6.415,6.521314
49,http://www.lazyriveroutpost.com,"Delaware River Tubing, Rafting, Canoe & Kayak Rentals | Lazy River Outpost",11210,13.287,13.3982
57,https://www.murphys-tattoo.de,Startseite - Murphy´s Tattoo Studio,3527,4.733,4.831801
54,http://koniksport.pl,Sklep rowerowy Szczecin - Konik Sport,7753,9.829,9.939051
56,https://www.nppaa.net,Blank Title - Home,6349,8.311,8.417593
53,https://dieschreyers.com,Backwelt & Konditorei Schreyer,9806,12.074,13.045667
62,https://www.thevintagehampercompany.uk,,2076,4.033,4.146235
27,http://www.schmidt-umzuege-trier.de,Schmidt Umzüge Trier - Schmidt Umzuege: Mit Vertrauen umziehen!,31385,32.727,32.812218
60,https://www.ariesdogland.com,Arie's Dogland | Albuquerque Puppy Headquarters,4865,7.046,7.132608
61,https://www.leni-parkett.de,Beratung-Verkauf-Verlegung | LENI-PARKETT in Kassel,5423,7.573,7.673534
69,https://www.caltrailblazers.com,,0,0.142,0.231366
67,https://campinggranby.com,,0,3.12,3.236024
71,http://www.consorziotst.it,,0,60.015,60.081315
64,http://www.xn--mhrke-gastrotechnik-q6b.de,Möhrke Service GbR,3994,185.4,185.515384
36,https://www.codeunique.de,Willkommen - CODE UNIQUE Architekten,26815,208.585,208.739099
65,https://dkcare247.co.uk,DK Care 24/7 – Quality Staffing Solutions,1748,184.469,184.796089
63,https://www.drbaby2th.com,"Pediatric Dentist Meridian, ID | Joel Whitt | Meridian, ID Pediatric Dentist | Pediatric Dentist 83646",5256,187.351,187.710267
59,https://tyremanmc.com.au,Shop Motorcycle Tyres Online in Australia | Tyreman M/C,9590,192.49,192.568315
66,http://www.gjcargo.com,"GJ Cargo | Your Cargo Company in Miami, FL. Call us today for your cargo needs.",4429,186.48,186.623105
70,http://www.nazionale.net,Nazionale Battitura Metalli | Metallo battuto in foglia,7751,183.449,183.523281
