S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,439226.32741,5,5,118,15064,24,23,0.073243,0.052194,0.063375,0.425293,7168012,16748544,4260
2,https://www.rechtsanwalt-moellers.de,439227.515052,3,1,15,6161,20,23,0.015577,0.006994,0.02915,0.117247,2682676,4608000,4384
3,https://heilpraktiker-silke-wagner.de,439230.142787,3,1,179,12152,32,38,0.082623,0.041613,0.149655,0.478471,6403344,11034624,3457
4,http://www.csjfilter.com,439231.392063,3,1,32,3792,42,107,0.061178,0.031573,0.044057,0.394485,2400664,3956736,11284
5,http://www.csjlfz.com,439232.453376,5,4,302,9519,33,51,0.072104,0.088087,0.202423,0.748096,7970980,15491072,3724
6,https://mondo.cl,439233.141575,4,1,61,5194,34,85,0.022168,0.039694,0.099506,0.359143,4382580,6578176,6434
7,https://hi-management.com,439234.182185,1,1,88,8548,153,163,0.11577,0.089516,0.199602,0.765266,4487340,14966784,4930
8,https://www.rayun.cl,439235.29106,3,4,225,12954,64,402,0.054468,0.128611,0.445853,1.193431,11683316,19685376,11567
9,https://woolfplumbing.com.au,439237.334394,2,3,373,8636,39,121,0.114439,0.10444,0.369544,0.975028,7376984,17588224,4857
10,https://hospitalismaelroldan.gov.co,439238.075418,18,19,245,22375,67,106,0.135514,0.071537,0.954089,1.71526,13115588,21397504,9492
11,https://freedomfabmt.com,439239.942243,1,1,239,10515,52,120,0.108471,0.090112,0.666934,2.297621,4396808,6316032,7356
12,https://www.tsv-simbach.de,439241.355098,2,2,167,17712,87,130,0.064217,0.070604,0.222889,0.864405,6534084,16015360,7411
13,https://www.kampasa.fr,439242.145868,3,4,373,34579,22,25,0.052154,0.032735,0.368851,1.481827,14934732,32673792,2715
14,https://www.autocaresalcaide.net,439242.341841,8,8,172,14892,47,83,0.071494,0.076749,0.235475,1.026855,4512432,9027584,4440
15,https://safen.sk,439243.496101,4,5,208,45306,39,52,0.263599,0.252594,0.400374,1.638075,9059576,19337216,6067
16,https://www.tiddleschildcare.co.uk,439244.405406,10,3,110,14844,218,281,0.117716,0.080037,0.136484,0.84117,3903512,5529600,2738
17,https://hairlounge-lueneburg.de,439244.75394,4,1,102,3157,18,113,0.017582,0.021954,0.067962,0.305535,2570268,4481024,5556
18,https://www.pflegeverbund-opf.de,439245.637434,4,1,412,20376,25,56,0.05971,0.063753,0.163718,0.747668,5216584,11034624,5545
19,https://www.teammania.de,439246.98844,3,3,96,6857,44,56,0.119063,0.017946,0.252373,0.861642,3924100,9986048,3104
20,https://www.yara.co.zm,439247.255985,4,5,464,284821,16,20,0.030156,0.044911,0.249533,1.032556,8930668,19054592,3705
21,http://www.mobilitas-physiotherapie.de,439247.770468,3,1,27,9366,15,10,0.028601,0.020758,0.040728,0.228435,2847180,4620288,3022
22,http://shalomeuropa.de,439248.431739,4,3,235,10459,138,161,0.04282,0.031943,0.154045,0.498645,4215436,8413184,5502
23,https://www.tennisclub-weiler.de,439249.043459,1,1,129,5939,52,149,0.084301,0.100569,0.236817,0.984002,4518284,10772480,5401
24,https://www.gs-wallertheim.de,439250.607741,10,4,241,6834,27,65,0.06932,0.028686,0.173824,0.538058,9501136,13754368,5424
25,http://www.cruiseoptionsonline.com,439250.843007,5,2,33,381,5,4,0.006571,0.002177,0.001386,0.04337,1275872,3035136,2752
26,http://www.csk-guidelineari.com,439251.003065,9,4,300,5492,11,10,0.017183,0.013398,0.178606,0.408199,11683760,19423232,6117
27,https://www.woond.nl,439251.486416,5,1,55,4977,25,51,0.020103,0.026782,0.152108,0.328209,5737288,9461760,3511
28,https://www.via4spine.de,439252.068926,4,1,157,31805,32,38,0.065591,0.047148,0.054606,0.423127,4264576,8839168,3277
29,https://www.architektura-bielsko.pl,439252.465962,3,1,2,1191,7,1,0.005524,0.001905,0.009119,0.072404,1772576,3694592,3533
30,http://www.cheproeng.com,439253.169515,3,1,199,9026,104,186,0.116226,0.079167,0.17453,0.605291,4694776,7364608,6315
31,http://www.gabdesigns.co.uk,439253.533582,3,1,0,2419,7,3,0.012878,0.001991,0.001155,0.106302,1313144,3035136,1949
32,https://www.mmkn.org,439256.11871,1,1,282,19079,339,639,0.130925,0.07819,0.418913,1.170903,14171256,23306240,4010
33,https://www.sv-naturstein.de,439257.632327,3,1,24,4989,51,49,0.022604,0.013866,0.035648,0.191733,2752116,3956736,3505
34,https://mindfulnesseveryday.org,439259.003305,3,1,145,18614,35,38,0.071078,0.057988,0.11744,0.639733,6368760,12271616,4614
35,https://www.getriebenotdienst.de,439260.414528,2,2,1173,61148,79,86,0.23473,0.123964,0.090442,1.205439,4171496,10174464,4099
36,https://www.dinnede-manufaktur.eu,439261.66566,3,1,20,14774,25,28,0.086474,0.022972,0.043608,0.30139,3525112,5267456,3979
37,https://hogarprestige.com,439262.303838,20,9,239,16637,71,77,0.097532,0.058818,0.289568,0.910751,10610744,19623936,6540
38,https://www.la-choue.com,439263.452206,2,4,495,20235,62,134,0.195943,0.19048,0.261285,1.449788,6659488,24403968,5685
39,https://wolksoftcr.com,439265.046211,13,19,390,8650,46,89,0.134591,0.166341,0.598259,2.017187,12650428,31481856,8545
40,https://www.xn--colosseum-rheinbllen-jbc.de,439265.915418,11,5,296,28128,41,45,0.066649,0.031921,0.154823,0.507553,6660420,11300864,4702
41,https://www.bunert.de,439267.54541,10,9,452,42376,67,61,0.103345,0.077116,0.238983,1.117734,12550956,23101440,5408
42,https://escapethis.place,439268.787714,13,9,14,7454,11,9,0.04268,0.014482,0.161521,0.361718,5460332,7888896,5136
43,http://www.lazyriveroutpost.com,439269.578381,8,6,52,6715,38,471,0.012226,0.046026,0.138677,0.545561,4063636,7102464,11210
44,https://www.murphys-tattoo.de,439269.961839,6,2,47,7306,25,34,0.05062,0.017448,0.089219,0.2759,5614188,9801728,3527
45,http://koniksport.pl,439271.568583,4,4,197,13995,50,124,0.095075,0.113775,0.215065,0.999532,7665256,17588224,7753
46,https://www.nppaa.net,439271.886225,3,1,21,1266,15,20,0.005548,0.008102,0.210976,0.289166,6977536,11128832,6349
47,https://dieschreyers.com,439273.776243,1,1,40,9796,37,38,0.030026,0.047419,0.109431,0.539329,2688044,5529600,9806
48,https://www.thevintagehampercompany.uk,439274.107609,7,3,14,626,12,13,0.009797,0.002376,0.1185,0.222042,4725468,7364608,2076
49,http://www.schmidt-umzuege-trier.de,439275.130767,1,1,81,1636,69,185,0.098055,0.097155,0.149135,0.799216,2963316,5529600,31385
50,https://www.ariesdogland.com,439275.950348,1,2,19,66053,20,18,0.061488,0.036056,0.232384,1.085325,4620764,11476992,4865
51,https://www.leni-parkett.de,439277.2695,4,1,21,3963,15,15,0.042954,0.013294,0.016396,0.197104,1908888,4083712,5423
52,http://www.xn--mhrke-gastrotechnik-q6b.de,439457.43486,1,1,0,90,6,4,0.007257,0.001815,0,0.065396,737156,2510848,3994
53,https://www.codeunique.de,439457.801393,2,2,63,11583,31,36,0.074283,0.035802,0.048552,2.813226,1714804,2908160,26815
54,https://dkcare247.co.uk,439458.676466,1,1,80,18055,23,51,0.077717,0.097828,0.167322,2.438487,4130288,6316032,1748
55,https://www.drbaby2th.com,439459.331014,7,10,223,1404,41,163,0.190439,0.089446,0.787718,5.358215,8996256,11296768,5256
56,https://tyremanmc.com.au,439460.113419,6,9,180,2422,47,73,0.146095,0.063072,0.963335,5.36824,10567168,12869632,9590
57,http://www.gjcargo.com,439460.718716,1,1,63,1339,36,65,0.144183,0.07287,0.112683,3.232372,2454680,4218880,4429
58,http://www.nazionale.net,439461.018926,1,4,19,225,22,25,0.00788,0.003043,0.098275,0.195691,3189908,4743168,7751
59,http://www.cskonferencia.sk,439462.560242,77,77,251,16818,42,47,0.126707,0.15187,0.103922,3.358107,4083536,5529600,20015
60,https://www.cslmgmt.com,439462.841758,8,5,21,471,13,14,0.006351,0.002418,0.128151,0.211645,4903616,7364608,3102
61,https://www.henderson-engineers.co.uk,439463.423682,4,1,36,6237,14,13,0.036812,0.033771,0.032311,0.252943,3199152,6754304,1434
62,https://www.cslmha.com,439464.802085,14,20,365,23689,51,78,0.041453,0.044338,0.610413,1.164308,19245844,26767360,6121
63,http://www.cellcost.pk,439465.505882,3,1,117,9882,23,28,0.091324,0.015398,0.147849,0.387501,6162644,9986048,3999
64,https://praxisgemeinschaft-am-ringelberg.de,439466.325185,1,1,139,16482,40,61,0.078144,0.054864,0.256406,0.721675,9662948,17326080,6047
65,https://www.logistaparcel.com,439467.221032,18,11,129,26079,26,43,0.026341,0.042238,0.124237,0.416384,6882368,11882496,7293
66,https://www.cskimkaratefortwayne.com,439469.776647,2,3,280,17033,19,24,0.050908,0.020833,0.130205,0.627199,10042320,19918848,5495
67,https://shop.ncreu.org,439470.385741,3,1,632,24140,12,25,0.03036,0.078232,0.251437,0.559538,12679956,22265856,4851
68,https://www.twinbrookpool.org,439470.871943,5,3,45,8084,23,25,0.024723,0.03212,0.103568,0.36096,3677564,5791744,7049
69,https://waldwichtel-koeln.de,439471.556738,12,5,93,6435,18,23,0.034674,0.033612,0.040423,0.239501,3369196,5013504,4802
70,http://jamienicholas.com,439471.934511,4,1,57,2348,10,8,0.050163,0.029706,0.031825,0.209728,2252196,4345856,8188
71,https://www.dktcommunication.com,439473.027416,4,1,134,19233,56,67,0.075208,0.059524,0.231681,0.639442,8586716,12021760,10422
72,https://columbia-pi.com,439473.677653,3,9,328,9274,43,78,0.098843,0.12383,0.267669,1.086344,6702284,25714688,5110
73,http://www.klugpharma.com,439474.143607,3,1,65,8397,47,69,0.071425,0.049651,0.06179,0.348864,3288508,5791744,3083
74,https://ssquebec.com,439475.034605,1,1,217,7581,19,19,0.049147,0.033049,0.106441,0.508245,4441164,9986048,2530
75,https://www.moebel-mueller-juechen.de,439475.537208,6,2,65,2405,22,24,0.019966,0.018225,0.031402,0.238817,2843708,4743168,3350
76,https://www.hospitalcandidoportinari.com.br,439476.627941,2,3,81,1246,86,91,0.074732,0.031017,0.332634,0.6389,7376200,12607488,7720
77,https://www.cskeryado.fr,439477.651729,18,8,102,10960,79,90,0.211848,0.090861,0.097028,0.691892,4559032,9310208,3591
78,https://www.terrier.de,439478.132881,4,1,273,20120,34,45,0.048795,0.063726,0.168616,0.5772,5351928,10510336,5637
79,https://www.horselssenteret.no,439478.978197,4,1,104,1196,11,10,0.063269,0.016625,0.222004,0.550485,5560400,10510336,3387
80,http://nestaenergies.com,439479.591969,3,1,58,12288,18,17,0.145858,0.042164,0.097948,0.497124,3417736,8413184,1977
81,https://www.startklahr.biz,439480.431745,8,9,667,11468,63,90,0.094596,0.0772,0.119613,0.718075,4024440,9199616,3857
82,https://www.ebmag.com,439481.016259,8,12,311,26504,66,87,0.123015,0.063063,0.696179,1.639218,23405736,41181184,6597
83,https://amazonrainforestconservancy.com,439481.678782,6,7,152,10346,60,74,0.055482,0.04886,0.112724,0.447212,7347076,11517952,5340
84,http://www.beginningdreamsdaycare.com,439482.938447,7,5,140,5403,24,32,0.016908,0.017064,0.111923,0.283398,6229036,10153984,3455
85,https://www.casagarage.it,439486.031464,3,5,84,10562,36,66,0.040888,0.05332,0.274989,0.750569,11166820,19435520,7886
86,http://www.studioyogasamgha.it,439486.891058,3,1,4,7893,14,11,0.066959,0.018525,0.00606,0.295904,1372504,3559424,7070
87,https://www.reseauvita.fr,439487.49645,51,29,604,18659,72,101,0.105682,0.084312,0.321335,1.070032,20370620,38506496,6332
