Timestamp,Total Size (MB),Used Size (MB),Free Size (MB),Used Percentage (%)
2024-10-05 07:05:01,700.0,17.74,682.26,2.53
2024-10-05 07:05:02,700.0,17.74,682.26,2.53
2024-10-05 07:05:02,700.0,17.74,682.26,2.53
2024-10-05 07:05:03,700.0,17.74,682.26,2.53
2024-10-05 07:05:03,700.0,17.74,682.26,2.53
2024-10-05 07:05:04,700.0,17.74,682.26,2.53
2024-10-05 07:05:04,700.0,17.74,682.26,2.53
2024-10-05 07:05:05,700.0,23.56,676.44,3.37
2024-10-05 07:05:05,700.0,23.56,676.44,3.37
2024-10-05 07:05:06,700.0,30.05,669.95,4.29
2024-10-05 07:05:06,700.0,30.05,669.95,4.29
2024-10-05 07:05:07,700.0,36.03,663.97,5.15
2024-10-05 07:05:07,700.0,36.03,663.97,5.15
2024-10-05 07:05:08,700.0,42.01,657.99,6.0
2024-10-05 07:05:08,700.0,42.68,657.32,6.1
2024-10-05 07:05:09,700.0,69.08,630.92,9.87
2024-10-05 07:05:09,700.0,70.08,629.92,10.01
2024-10-05 07:05:10,700.0,121.6,578.4,17.37
2024-10-05 07:05:10,700.0,110.93,589.07,15.85
2024-10-05 07:05:11,700.0,124.92,575.08,17.85
2024-10-05 07:05:11,700.0,204.2,495.8,29.17
2024-10-05 07:05:12,700.0,161.43,538.57,23.06
2024-10-05 07:05:12,700.0,113.99,586.01,16.28
2024-10-05 07:05:13,700.0,139.43,560.57,19.92
2024-10-05 07:05:13,700.0,166.55,533.45,23.79
2024-10-05 07:05:14,700.0,151.98,548.02,21.71
2024-10-05 07:05:14,700.0,268.91,431.09,38.42
2024-10-05 07:05:15,700.0,311.45,388.55,44.49
2024-10-05 07:05:15,700.0,321.1,378.9,45.87
2024-10-05 07:05:16,700.0,369.63,330.37,52.8
2024-10-05 07:05:16,700.0,414.98,285.02,59.28
2024-10-05 07:05:17,700.0,416.44,283.56,59.49
2024-10-05 07:05:17,700.0,433.57,266.43,61.94
2024-10-05 07:05:18,700.0,426.05,273.95,60.86
2024-10-05 07:05:18,700.0,377.88,322.12,53.98
2024-10-05 07:05:19,700.0,332.39,367.61,47.48
2024-10-05 07:05:19,700.0,482.38,217.62,68.91
2024-10-05 07:05:20,700.0,378.08,321.92,54.01
2024-10-05 07:05:20,700.0,356.55,343.45,50.94
2024-10-05 07:05:21,700.0,364.31,335.69,52.04
2024-10-05 07:05:21,700.0,416.09,283.91,59.44
2024-10-05 07:05:22,700.0,520.26,179.74,74.32
2024-10-05 07:05:22,700.0,599.88,100.12,85.7
2024-10-05 07:05:23,700.0,527.98,172.02,75.43
2024-10-05 07:05:23,700.0,469.09,230.91,67.01
2024-10-05 07:05:24,700.0,488.78,211.22,69.83
2024-10-05 07:05:24,700.0,690.88,9.12,98.7
2024-10-05 07:05:25,700.0,675.43,24.57,96.49
2024-10-05 07:05:25,700.0,662.6,37.4,94.66
2024-10-05 07:05:26,700.0,622.11,77.89,88.87
2024-10-05 07:05:26,700.0,683.35,16.65,97.62
2024-10-05 07:05:27,700.0,648.36,51.64,92.62
2024-10-05 07:05:27,700.0,593.32,106.68,84.76
2024-10-05 07:05:28,700.0,498.99,201.01,71.28
2024-10-05 07:05:28,700.0,510.58,189.42,72.94
2024-10-05 07:05:29,700.0,567.03,132.97,81.0
2024-10-05 07:05:29,700.0,473.95,226.05,67.71
2024-10-05 07:05:30,700.0,494.71,205.29,70.67
2024-10-05 07:05:30,700.0,359.9,340.1,51.41
2024-10-05 07:05:31,700.0,324.77,375.23,46.4
2024-10-05 07:05:31,700.0,253.75,446.25,36.25
2024-10-05 07:05:32,700.0,399.13,300.87,57.02
2024-10-05 07:05:32,700.0,396.34,303.66,56.62
2024-10-05 07:05:33,700.0,273.93,426.07,39.13
2024-10-05 07:05:33,700.0,254.05,445.95,36.29
2024-10-05 07:05:34,700.0,258.01,441.99,36.86
2024-10-05 07:05:34,700.0,251.46,448.54,35.92
2024-10-05 07:05:35,700.0,170.05,529.95,24.29
2024-10-05 07:05:35,700.0,358.12,341.88,51.16
2024-10-05 07:05:36,700.0,314.3,385.7,44.9
2024-10-05 07:05:36,700.0,246.28,453.72,35.18
2024-10-05 07:05:37,700.0,246.22,453.78,35.17
2024-10-05 07:05:37,700.0,318.11,381.89,45.44
2024-10-05 07:05:38,700.0,242.5,457.5,34.64
2024-10-05 07:05:38,700.0,412.62,287.38,58.95
2024-10-05 07:05:39,700.0,381.35,318.65,54.48
2024-10-05 07:05:39,700.0,272.5,427.5,38.93
2024-10-05 07:05:40,700.0,293.84,406.16,41.98
2024-10-05 07:05:40,700.0,347.75,352.25,49.68
2024-10-05 07:05:41,700.0,401.46,298.54,57.35
