id,url,title,PTime(sec),TTime(sec)
6,http://www.dronacharyaacademy.co.in,Home,1.7,1.932411
5,https://tamerakdesign.com,Tamera K Designs,2.896,3.127795
3,http://www.pbms.co.kr,,3.058,3.287476
2,http://www.magnificentbudapest.hu,,3.617,3.845399
4,https://www.oxygen360.com.au,Oxygen360 – Creative and Media Agency,3.773,4.00282
1,https://www.grupoholguera.com,GRUPO HOLGUERA BIENES RAICES,5.562,5.790283
8,https://www.gracefulaesthetics.co.uk,,4.996,5.109033
11,https://norbutmfg.com,Norbut Manufacturing – Custom Elastic Products for Industries Around the World.,3.537,3.593532
13,https://www.kinnelaw.com,Kinne IP Group,3.887,3.929918
12,http://www.fahrschule-frey.de,Fahrschule Frey - Startseite,4.668,4.716217
7,https://www.westcoastdancearts.com,Home | WestCoastDanceArts,12.41,12.522425
14,https://www.fernandawr.com,Fernanda Walker - Portfolio,5.46,5.512541
9,https://www.rinologiayolfato.com,Rinoplastia | Rinologia y Olfato Doctor Mariño | Comunidad de Madrid,10.286,10.338262
15,https://www.futurephysio.com,Physiotherapy and Sports Performance - Future Physio,5.777,5.837353
18,https://www.osteopathcanada.com,Home | General Osteopathic Council of Ontario,3.112,3.163343
17,http://www.h2ocreations.co.uk,,4.992,5.035281
10,https://www.totallyu.co.uk,,13.245,13.304619
20,https://nwtacticaltraining.com,Home Page,2.927,2.971366
23,http://www.sgpercussion.co.uk,,0.67,0.743497
21,http://www.fritra.ch,FRITRA AG,5.033,5.088289
19,https://uuq-optic.com,"UUQ Optics | Rifle Scopes, Red Dots, Boresighters, Bipods & More",6.931,6.987995
26,https://www.familyabusesheltermc.org,"Family Abuse Shelter of Miami County | Troy, Ohio",2.595,2.656687
25,https://www.thevictoriasurbiton.co.uk,Home - Victoria Surbiton,4.769,4.838305
24,https://palotagumi.hu,"Non Stop Autószerviz | 0-24 | Gumszerviz, futómű állítás, autómentés",5.939,5.991254
27,http://suhhani.com,㈜서한공업,4.113,4.166652
28,https://www.primusenergy.org.uk,,2.945,3.004259
22,https://www.taxi22000.at,Taxi 22000 in Wiener Neustadt,9.006,9.063036
33,https://www.qualitysourcingglobal.com,"Sourcing Agents In India, Quality Control Service, Handicraft Sourcing Agent, Indian Sourcing Agent, Jodhpur Handicraft Exporter",2.415,2.466887
29,http://www.samuelmarwit.com,Samuelmarwit.com,7.972,8.026466
34,http://www.skoowl.com,skoowl.com - This website is for sale! - skoowl Resources and Information.,3.067,3.135711
