id,url,title,PTime(sec),TTime(sec)
6,http://www.dronacharyaacademy.co.in,Home,2.515,2.708162
3,http://www.pbms.co.kr,,3.048,3.239759
7,https://www.westcoastdancearts.com,Home | WestCoastDanceArts,2.267,2.338461
5,https://tamerakdesign.com,Tamera K Designs,4.137,4.32808
4,https://www.oxygen360.com.au,Oxygen360 – Creative and Media Agency,4.318,4.50794
2,http://www.magnificentbudapest.hu,,4.599,4.787688
8,https://www.gracefulaesthetics.co.uk,,4.373,4.452288
10,https://www.totallyu.co.uk,,3.032,3.082818
1,https://www.grupoholguera.com,GRUPO HOLGUERA BIENES RAICES,9.113,9.302905
9,https://www.rinologiayolfato.com,Rinoplastia | Rinologia y Olfato Doctor Mariño | Comunidad de Madrid,4.874,4.925157
11,https://norbutmfg.com,Norbut Manufacturing – Custom Elastic Products for Industries Around the World.,3.856,3.932819
13,https://www.kinnelaw.com,Kinne IP Group,3.42,3.483983
12,http://www.fahrschule-frey.de,Fahrschule Frey - Startseite,5.084,5.138602
14,https://www.fernandawr.com,Fernanda Walker - Portfolio,6.008,6.073592
18,https://www.osteopathcanada.com,Home | General Osteopathic Council of Ontario,2.032,2.081074
15,https://www.futurephysio.com,Physiotherapy and Sports Performance - Future Physio,6.511,6.564458
20,https://nwtacticaltraining.com,Home Page,3.188,3.248142
21,http://www.fritra.ch,,3.015,3.059508
19,https://uuq-optic.com,"UUQ Optics | Rifle Scopes, Red Dots, Boresighters, Bipods & More",5.677,5.722114
23,http://www.sgpercussion.co.uk,,2.144,2.188143
22,https://www.taxi22000.at,Taxi 22000 in Wiener Neustadt,5.395,5.457429
25,https://www.thevictoriasurbiton.co.uk,Home - Victoria Surbiton,3.295,3.340438
28,https://www.primusenergy.org.uk,,1.902,1.948352
24,https://palotagumi.hu,"Non Stop Autószerviz | 0-24 | Gumszerviz, futómű állítás, autómentés",4.92,4.970603
26,https://www.familyabusesheltermc.org,"Family Abuse Shelter of Miami County | Troy, Ohio",3.085,3.178476
27,http://suhhani.com,㈜서한공업,5.287,5.360532
31,https://legend.life,The domain name legend.life is for sale,2.017,2.060466
33,https://www.qualitysourcingglobal.com,"Sourcing Agents In India, Quality Control Service, Handicraft Sourcing Agent, Indian Sourcing Agent, Jodhpur Handicraft Exporter",2.047,2.089783
32,https://www.cmjc.cl,Empresa de Arriendo de Maquinarias para Obras Civiles,5.268,5.309202
34,http://www.skoowl.com,skoowl.com - This website is for sale! - skoowl Resources and Information.,2.608,2.658755
36,http://www.tkscoe.org,,2.08,2.125488
