id,url,title,RTime,PTime(sec),TTime(sec)
1,http://www.csjfilter.com,"Yingkou Chuangshiji Filter Materials Co., Ltd",5321,5.497,5.582502
7,https://www.midiforkids.com,,0,0.088,0.165487
3,http://www.ecan.be,Collège Abbé Noël – Un tremplin pour la vie,4758,6.869,6.944978
5,https://www.rechtsanwalt-moellers.de,Rechtsanwalt Möllers - Startseite,4763,5.248,5.350364
4,http://www.altreetz-online.de,Altreetz und Umgebung: Home,5805,6.53,6.609073
10,http://www.csjlfz.com,Robot Challenge Screen,2866,3.077,3.177411
9,https://heilpraktiker-silke-wagner.de,Aktuelles,4239,4.559,4.652385
15,https://avediscorp.com,,1910,1.936,2.228461
11,https://hi-management.com,,2839,2.898,4.037691
2,https://www.rayun.cl,Rayün Montessori – Sala Cuna y Jardín Infantil – Sala Cuna y Jardín Infantil,10599,12.558,12.637501
6,https://hospitalismaelroldan.gov.co,Hospital Ismael Roldán Valencia |,8532,8.823,8.897374
13,https://woolfplumbing.com.au,Woolf Plumbing & Gas: The Plumbing & Gas Expert in Perth,4421,16.003,16.184473
8,https://mondo.cl,Officio Mondo,8343,19.828,19.90091
17,https://www.kampasa.fr,Marie Durand,3500,15.322,15.460537
12,https://freedomfabmt.com,"Freedom Fabrication | Excavation, Landscaping, Concrete, Snow Removal Services | Montana",5366,17.389,17.607084
19,https://www.pflegeverbund-opf.de,Ambulante Pflege | Waidhaus | Ambulanter Pflegeverbund,3624,14.739,14.88494
21,https://www.tiddleschildcare.co.uk,Tiddles Childcare – An outstanding childcare provider,1983,13.411,13.517554
20,https://hairlounge-lueneburg.de,Ihr Friseursalon in Lüneburg | Hairlounge by Sandra Ritter,2312,13.859,13.948218
18,https://www.autocaresalcaide.net,Autocares Alcaide,4429,15.79,15.900918
14,https://www.tsv-simbach.de,TSV Simbach a. Inn |,6706,18.385,18.860573
16,https://safen.sk,SAFEN | Komplexné služby BOZP a OPP,15896,19.129,19.247397
23,https://www.teammania.de,Team Mania - SPIELBASIERTES LERNEN & CORPORATE ESCAPE GAMES,1739,4.067,4.148493
22,https://www.yara.co.zm,Yara Zambia,2085,4.638,4.786794
24,http://shalomeuropa.de,Startseite,3153,4.264,4.390978
25,http://www.mobilitas-physiotherapie.de,Physiotherapie & Osteopathie für Hunde & Katzen,3292,4.666,4.753406
28,https://www.gs-wallertheim.de,GS Wallertheim,4792,5.807,6.039036
29,http://www.csk-guidelineari.com,Plesk Obsidian 18.0.63,4986,5.91,6.014815
26,https://www.tennisclub-weiler.de,Tennisclub Weiler – Tennis spielen in Weiler im Allgäu,6592,7.021,7.105524
33,https://www.via4spine.de,Wirbelsäulenchirurgie - Via 4 Spine Wirbelsäulenchirurgie,3486,6.241,6.38058
35,https://www.architektura-bielsko.pl,"Biuro architektoniczne w Bielsku : Tomasz Köhler : architekt bielsko, architekt bielsko-biała, architekt śląsk",2219,5.093,5.171606
30,http://www.elevake.eu,Elevake Hungary,5824,8.466,8.590728
34,http://www.cruiseoptionsonline.com,Index of /,3662,6.34,6.429048
37,http://www.grundschule-zum-obersten-holz.de,,0,3.146,3.227906
32,https://www.woond.nl,WOOND Ulft - Expert in bekleden of renoveren van uw trap of vloer,6264,7.089,7.363941
38,http://www.gabdesigns.co.uk,"GaB Designs,Printed Circuit Board design (PCB) - Home Page",3040,3.248,3.323633
41,http://www.csjmpw.com,,0,0.378,0.620159
45,http://www.terayne.com,,0,0.244,0.380846
36,https://www.codeunique.de,Willkommen - CODE UNIQUE Architekten,4840,8.677,8.857818
39,https://www.mmkn.org,MMKN,2898,7.898,8.081786
46,https://www.sv-naturstein.de,Startseite | SV Naturstein - Inhaber Stefan Vepschek,4932,7.158,7.24927
40,https://hogarprestige.com,,8828,8.841,8.922619
42,https://mindfulnesseveryday.org,Mindfulness Everyday | Mindfulness Everyday,5284,8.252,8.479831
44,https://www.getriebenotdienst.de,Getriebereparatur | Ihr Fachmann für Getriebe,5086,9.703,9.90555
43,https://wolksoftcr.com,Wolksoft | Soluciones Tecnológicas a la Medida,7195,10.645,10.886877
47,https://www.la-choue.com,Accueil - Brasserie de Vauclair - La Choue,6602,16.106,16.181932
31,http://www.cheproeng.com,Check Process Engineering,15872,24.702,24.790671
48,https://www.dinnede-manufaktur.eu,DINNEDE MANUFAKTUR - FELDBÄCKEREY | FLEISCHBRÄTEREY | WURSTBRÄTEREY,5271,11.97,12.147705
51,https://www.xn--colosseum-rheinbllen-jbc.de,Hotel Ristorante Colosseum - Startseite,9067,9.391,9.528119
52,https://www.bunert.de,bunert Onlineshop,9732,12.647,12.7986
49,http://www.lazyriveroutpost.com,"Delaware River Tubing, Rafting, Canoe & Kayak Rentals | Lazy River Outpost",10982,13.651,13.95966
53,https://dieschreyers.com,Backwelt & Konditorei Schreyer,8804,11.865,11.97439
55,https://escapethis.place,Escape This Place - Escape Game Rooms in KC,4172,5.394,5.487198
54,http://koniksport.pl,Sklep rowerowy Szczecin - Konik Sport,10225,11.945,12.033559
57,https://www.murphys-tattoo.de,Startseite - Murphy´s Tattoo Studio,4304,5.345,5.424028
60,https://www.ariesdogland.com,Arie's Dogland | Albuquerque Puppy Headquarters,2640,3.315,3.428299
61,https://www.leni-parkett.de,Beratung-Verkauf-Verlegung | LENI-PARKETT in Kassel,3084,3.217,3.312917
56,https://www.nppaa.net,Blank Title - Home,8242,8.368,8.459693
59,https://tyremanmc.com.au,Shop Motorcycle Tyres Online in Australia | Tyreman M/C,4456,5.857,6.093891
62,https://www.thevintagehampercompany.uk,,3791,4.94,5.037602
69,https://www.caltrailblazers.com,,0,0.198,0.27693
58,https://www.boersenblatt.net,News und Service für Buchhandel und Verlage | Börsenblatt,7327,11.502,11.586803
64,http://www.xn--mhrke-gastrotechnik-q6b.de,Möhrke Service GbR,4117,6.534,6.633324
63,https://www.drbaby2th.com,"Pediatric Dentist Meridian, ID | Joel Whitt | Meridian, ID Pediatric Dentist | Pediatric Dentist 83646",4138,8.942,9.169348
65,https://dkcare247.co.uk,DK Care 24/7 – Quality Staffing Solutions,2362,8.295,8.376049
66,http://www.gjcargo.com,"GJ Cargo | Your Cargo Company in Miami, FL. Call us today for your cargo needs.",3231,9.244,9.321066
68,http://www.bmtinc.us,Bob's Moraine Trucking,4559,7.333,7.516649
67,https://campinggranby.com,Bienvenue sur le site du Camping Granby,7398,9.553,9.626482
70,http://www.nazionale.net,Nazionale Battitura Metalli | Metallo battuto in foglia,7476,7.699,7.780037
73,https://www.logistaparcel.com,Home,3862,4.346,4.440096
72,http://www.cskonferencia.sk,"Česko - slovenské energetické fórum - 5.–6. 6. 2024, Karlovy Vary",6959,8.077,8.183517
78,https://www.henderson-engineers.co.uk,"Engineering Company Alloa, Steel Fabrication, Repairs & Welding, Glasgow, Edinburgh & Scotland",2237,2.625,2.719228
74,https://www.cslmha.com,Welcome | Cote Saint-Luc Minor Hockey Association,4542,11.729,11.822116
75,https://praxisgemeinschaft-am-ringelberg.de,Praxisgemeinschaft Ringelberg Erfurt – Eine weitere WordPress-Website,3768,10.478,10.632434
76,https://www.cslmgmt.com,,3969,10.576,10.666785
77,http://www.cellcost.pk,CellCost | Complete Solution for Sales Management,4165,10.861,11.065148
79,https://www.dktcommunication.com,DKT | Communication,10654,11.099,11.228174
80,http://jamienicholas.com,Jamie Nicholas Printing & Graphics – We print anything from business cards to billboards,9747,9.993,10.092078
82,https://www.cskimkaratefortwayne.com,C S Kim Karate Fort Wayne,2614,3.294,3.382658
81,https://www.twinbrookpool.org,Twinbrook Pool – Fun in the sun since 1955,9652,10.747,10.838171
84,https://waldwichtel-koeln.de,Waldwichtel Köln e.V. lernen & fördern | entdecken & erleben,2826,4.57,4.650835
87,http://www.klugpharma.com,Klüg Pharma German Perfection,2018,2.445,2.539212
27,http://www.schmidt-umzuege-trier.de,,0,60.062,60.221964
83,https://shop.ncreu.org,Naming Creatively... Imaginatively...,4692,5.968,6.048419
